COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
29-1	tʰ u ʔ ⁵⁴						
30-1	w a ŋ ³¹						
35-1	l a ŋ ³²						
38-1	d z ɔ ⁴⁵						
42-1	pʰ ə ⁵						
46-1	ʃ ɔ ³¹						
52-1	tʰ j ɛ ʔ ⁴²						
55-1	b w ɔ m ³¹						
69-1	h u ʔ ⁵						
79-1	g j ɛ n ⁴²						
83-1	tʃʰ au ³						
86-1	j ei ³						
89-1	s a ŋ ³						
90-1	pʰ ɔ ³						
91-1	ʔ u n ³¹						
92-1	kʰ ə ³						
106-1	g u k ³						
120-1	tsʰ a t ⁵³						
125-1	g j u ʔ ⁴²						
148-1	d a ŋ ³						
173-1	pʰ ə ³						
179-1	ʔ u t ⁵						
186-1	ŋ a ³						
187-1	l a ŋ ³						
197-1	n ṵ ə̰ t ⁵⁴						
209-1	kʰ o ŋ ³						
210-1	w o m ³						
211-1	d au ³						
213-1	n a̰ ḭ k ⁵⁴						
215-1	tsʰ ɔ t ⁵³						
220-1	tʰ u ŋ ⁵						
237-1	ʃ e ³						
239-1	n a m ³¹						
242-1	tsʰ ɨu ³						
248-1	kʰ j ei ⁵						
255-1	d j u ³¹						
271-1	tʃʰ au ⁵						
275-1	n u ⁵						
277-1	tʃʰ a ŋ ⁵						
295-1	kʰ ɨ ʔ ⁵³						
302-1	tsʰ au ⁵						
309-1	l ɔ ʔ ³²						
312-1	ʔ au ⁵						
313-1	m ɔə t ⁴¹						
314-1	tsʰ ɔ m ³						
315-1	tʰ u ŋ ⁵						
330-1	d j ei ³						
333-1	ʃ a m ³						
338-1	n j ɔ ʔ ⁴³						
346-1	ʃ ɛ t ⁵³						
348-1	j ɛ t ³¹						
353-1	ts a̰u ⁵						
356-1	h a m ⁵						
357-1	s ɔ ʔ ⁵³						
358-1	ʃ ɛ t ³¹						
361-1	d j ɔ ʔ ³¹						
378-1	n j ḛ k ⁵²						
379-1	kʰ j ɛ n ³						
388-1	g j u k ⁴²						
390-1	j ɔ̰ ³²						
398-1	j ɔ ³						
399-1	k j ɛ̰ n ³						
400-1	n a n ³¹						
403-1	d j ɔ ³¹						
405-1	j a p ³¹						
406-1	tʰ u k ⁵³						
407-1	s u ⁵						
410-1	w a ŋ ³¹						
414-1	l a ŋ ³						
418-1	g j ɔ ⁴³						
423-1	j au ³¹						
431-1	g u ŋ ⁴³						
435-1	kʰ j a m ⁵⁴						
438-1	tʰ au ⁵						
448-1	dʒ au ʔ ³¹						
449-1	ts ṵ ʔ ⁵²						
453-1	m u ⁵						
465-1	tʰ ai ʔ ³¹						
471-1	j u k ³²						
472-1	ʔ ai ⁵³						
474-1	n j ei ³						
482-1	x j ɔ ³						
502-1	b u ³						
503-1	tsʰ ɨu ³						
505-1	l a m ³¹						
512-1	j ɔ ⁴²						
515-1	d a n ³						
529-1	ʔ a ³						
530-1	s ai k ⁵⁴						
535-1	b a ŋ ³¹						
536-1	d e ³						
542-1	b w ɔ p ³¹						
561-1	n ṵ k ⁵³						
563-1	dʒ ɛ t ³¹						
569-1	kʰ a ⁴						
5-1	m ṵ ⁵						
16-1	j æ t ²¹						
27-1	d z a n ⁴²						
40-1	tʰ ɔ m ⁵						
41-1	b ɔ p ⁴³						
1-2		m au ⁵²					
4-2		l ḛ ²³					
18-2		m j a n ²³					
19-2		n e ʔ ⁵²					
44-2		l au ʔ ²³					
50-2		x a ŋ ³					
62-2		s a k ⁵²					
70-2		p j e ⁵²					
75-2		m ḛ ²³					
97-2		tʃʰ a ŋ ²³					
112-2		tʰ a ²³					
122-2		m j au ʔ ⁵²					
127-2		kʰ w i ²³					
132-2		v w a ⁵²					
133-2		n au ⁵²					
135-2		n au ²³					
142-2		t w i ³					
143-2		ŋ a̰ ʔ ⁵²					
149-2		ɣ ṵ ²³					
152-2		ŋ ə					
157-2		p a ²³					
183-2		ʔ u					
184-2		n au ʔ ²³					
185-2		tsʰ i ³					
189-2		m j a ²³					
192-2		n ã ³					
195-2		n e ³					
200-2		k i ʔ ²³					
216-2		s a ŋ ²³					
218-2		l a̰ ⁵²					
225-2		s a ŋ ²³					
235-2		kʰ i ³					
244-2		s w i ²³					
253-2		m ɛ ³					
270-2		m i ⁵²					
278-2		m a ŋ ²³					
279-2		w a ²³					
285-2		j a̰ m ²³					
308-2		t ṵ ḭ ²³					
322-2		m i ⁵²					
325-2		kʰ au ²³					
337-2		m j a̰ ŋ ⁵²					
341-2		t a ⁵²					
347-2		ʃ au ²³					
362-2		ɣ ḭ ²³					
391-2		j a̰ p ³					
394-2		m a ⁵²					
397-2		tʃʰ ə ²³					
443-2		n j æ̰ p ⁵²					
460-2		s ḛ ʔ ⁵²					
463-2		v e ³					
464-2		ʔ a ŋ ³					
473-2		s a m ³					
476-2		kʰ j au p ⁵²					
481-2		tʰ ai ³					
494-2		k o̰ ²³					
496-2		x a ŋ ²³					
516-2		v e ⁵²					
522-2		n a ʔ ⁵²					
523-2		pʰ j u ³					
524-2		n ẽ ³					
540-2		kʰ a ²³					
3-2		p w i ³					
6-2		k ḭ ³					
7-2		ts a̰ m ³					
20-2		n e ²³					
39-2		m i ³					
51-2		n w i ³					
72-2		ʔ a					
94-2		m e ³					
100-2		s au n ²³					
116-2		l a ⁵²					
136-2		l w i ⁵²					
137-2		kʰ j u ³					
139-2		m i ⁵²					
150-2		ɣ ɔ ʔ ²³					
154-2		m e ³					
166-2		pʰ j a ³					
169-2		k j a̰ ŋ ³					
170-2		p j a ⁵²					
171-2		j o ŋ					
174-2		l ẽ ³					
181-2		m j a ʔ ²³					
205-2		n au ⁵²					
206-2		m j ɛ ⁵²					
214-2		l a m ⁵²					
217-2		w u ³					
224-2		n j a̰u ŋ ²³					
228-2		p au ⁵²					
246-2		k j ɛ ³					
256-2		ʔ a					
257-2		v a ³					
273-2		ʔ a ³					
286-2		kʰ a m ²³					
307-2		n e ʔ ⁵²					
335-2		k j a					
342-2		m j ṵ ŋ ³					
376-2		s j ɛ ²³					
389-2		n a̰ k ⁵²					
404-2		ts aː ŋ ³					
408-2		t a̰u ⁵²					
413-2		ts a̰ n ²³					
421-2		n a p ⁵²					
430-2		tʃʰ ə ²³					
458-2		s u ⁵²					
470-2		t a ⁵²					
475-2		ŋ a ⁵²					
477-2		n a̰u t ⁵²					
478-2		ʃ ɛ t ⁵²					
480-2		k au ⁵²					
485-2		m j a ⁵²					
495-2		ŋ ai ³					
499-2		m j ṵ̃ ³					
500-2		n j a̰ p ⁵²					
506-2		ts ḛ ʔ ⁵²					
509-2		l a ŋ ²³					
525-2		n j ṵ ŋ ³					
22-2		k a̰ː ⁵²					
28-2		p w i ³					
29-2		tʰ au ⁵²					
30-2		w ã ŋ ³					
35-2		l a ŋ ⁵²					
38-2		ts ai ²³					
46-2		ʃ a ³					
52-2		t a̰ ʔ ⁵²					
55-2		p a m ²³					
69-2		f a ʔ ⁵²					
125-2		ɣ o ²³					
163-2		ʃ au n ²³					
173-2		pʰ ə ³					
179-2		ʔ u ³					
210-2		x w ĩ ³					
211-2		t au ⁵²					
213-2		n a k ⁵²					
215-2		ts a̰ ʔ ⁵²					
237-2		ʃʰ u					
252-2		k ai ⁵²					
255-2		p j u ³					
275-2		n au ŋ ⁵²					
281-2		kʰ j a ⁵²					
300-2		ɣ a ⁵²					
333-2		ʃʰ ḭ ²³					
390-2		j a ⁵²					
400-2		n e ²³					
403-2		j w i ³					
407-2		ts o̰ ²³					
414-2		l õ ⁵²					
418-2		k j a ²³					
448-2		ts a̰ ʔ ⁵²					
472-2		j ḭ ²³					
474-2		m i ⁵²					
505-2		l ẽ ²³					
517-2		ts õ ²³					
5-2		m ə ⁵²					
21-2		k a ŋ ³					
23-2		j ə ²³					
24-2		ʔ a ŋ ³					
34-2		ɣ i ³					
1-3			m au ³				
4-3			l a ⁵				
18-3			m j eː ŋ ⁵				
19-3			n j eː ⁵				
44-3			l o k ³				
50-3			ʃ ə ŋ ⁵²				
62-3			s ə k ⁵⁴				
70-3			b ai n ⁴				
75-3			m j ɔ ʔ ²				
97-3			tʃʰ a ŋ ⁵⁴				
112-3			tsʰ o ⁵				
122-3			m j o k ³²				
127-3			kʰ w e ³²				
132-3			w u ʔ ³				
133-3			n ũ ³				
135-3			n au ⁴				
142-3			d z i ⁵²				
143-3			ŋ ɔ̰ ʔ ⁵²				
149-3			w ɨ̰ ʔ ⁵³				
152-3			ŋ ə ³				
157-3			p u ⁵				
183-3			w ə ⁵				
184-3			n o ʔ ⁵¹				
185-3			tsʰ æ m ⁵³				
189-3			m j ɔ̃ ʔ ⁴				
192-3			n ũ ³				
195-3			n ai ³				
200-3			g ai n ⁵³				
216-3			s ə ŋ ⁵				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁴				
235-3			kʰ j e ⁵³				
244-3			s oi ⁵				
253-3			m e ⁴				
270-3			m e ⁴				
278-3			m j ə ŋ ³¹				
279-3			w ə ⁴				
285-3			j ɛ̰ m ⁴				
308-3			b i ⁵				
322-3			m ɪ ⁴				
325-3			kʰ au ⁵				
337-3			m j a ŋ ³¹				
341-3			d z ɔ ³				
347-3			ʃ j o ʔ ³¹				
362-3			j ḭ ³¹				
391-3			j ø p ⁴²				
394-3			m ɔ ʔ ²¹				
397-3			tʃʰ e ⁵				
443-3			n j ø p ⁵³				
460-3			s a̰i ʔ ⁴²				
463-3			ɣ ɨ ³¹				
464-3			ʔ õ ŋ ⁵⁴				
473-3			s ɛ m ³				
476-3			kʰ j o k ⁵³				
481-3			tsʰ e ³				
494-3			g e ³				
496-3			ʃ j ə ŋ ⁴³				
516-3			w e ²				
522-3			n ɔ̃ ʔ ³				
523-3			pʰ j u ⁴³				
524-3			n e ³¹				
540-3			kʰ ɔ ⁴				
3-3			b e ⁵¹				
6-3			k ḭ ⁵³				
7-3			dʒ ɛ ⁵³				
20-3			n æ p ³²				
39-3			m j ḛ ⁵³				
51-3			ŋ ⁵²				
64-3			g o ŋ ³				
65-3			g o k ⁵³				
66-3			d z u ⁴				
71-3			ʃ i ⁴				
72-3			ʔ a ³				
76-3			w ɔ ³				
77-3			m j u k ³				
78-3			m au ³¹				
82-3			pʰ ə ŋ ⁴⁵				
87-3			ŋ ɔ ³				
93-3			l æ m ⁵				
94-3			m j e ŋ ³²				
100-3			s oi n ⁴²				
116-3			l o ³				
119-3			w u ʔ ³⁴				
124-3			b j u ³				
136-3			l i ³				
137-3			kʰ j au ³²³				
139-3			m e ³				
144-3			s oi ʔ ⁵³				
145-3			d o ŋ ⁵¹				
146-3			m au ³⁵				
150-3			g j ɔ ʔ ³²				
154-3			m j ũ ⁴¹				
165-3			kʰ j æ m ⁵²				
166-3			pʰ j ɔ ⁴²				
169-3			k j a̰ ŋ ⁵²				
170-3			b j ɔ ³				
171-3			j a ŋ ³				
174-3			l æ m ²¹				
181-3			m j ɔ̃ ʔ ⁴				
193-3			b ə ³				
205-3			n o̰i ʔ ⁵³				
206-3			m ɨ ³²				
212-3			tʃʰ ɔ ʔ ⁵³				
214-3			l ɛ m ²				
217-3			w u ⁴				
224-3			n j a̰u ⁵				
228-3			b au ⁴				
238-3			j au ⁴¹				
241-3			ʃ u ⁵				
246-3			k j ṵ ⁵				
256-3			ʔ a ³				
257-3			pʰ o ʔ ⁵³				
272-3			m ɔ̃ ⁴				
273-3			ʔ a ⁴				
274-3			m a ŋ ⁴				
286-3			kʰ æ m ⁴				
289-3			kʰ o ŋ ⁴²				
294-3			w ə ⁵				
301-3			j ɔ̰ ʔ ³				
306-3			tʃʰ w ɛ p ⁵³				
307-3			ŋ æ̃ p ⁵³				
321-3			tʰ a ŋ ⁴				
331-3			m j ɔ̃ ³				
332-3			l æ̰ m ³				
335-3			g j ɔ ³¹				
336-3			n æ m ³¹				
340-3			ŋ au ³¹				
342-3			m j au ⁵³				
360-3			dʒ w ɛ p ⁴²				
376-3			s ɛ ʔ ⁵²				
389-3			n ə k ³²				
395-3			n o ²³				
401-3			ʃ e ³²				
404-3			d z o ŋ ²				
408-3			d ɔ ²				
409-3			l ɔ ³¹				
413-3			d w e n ³				
421-3			m j o k ³²				
425-3			b j e ³				
430-3			tʃʰ e ⁴³				
442-3			d u ³				
447-3			tʰ o ŋ ⁴				
456-3			g ɔ ⁴				
458-3			ʃ o ⁵				
469-3			kʰ au ³				
470-3			d ai ³				
475-3			m ³				
477-3			n j ẽ ʔ ⁵³				
478-3			ʃ e t ⁵³				
480-3			g au ³				
485-3			m j õ ³⁵				
495-3			ŋ e ³¹				
499-3			m j ã ŋ ³²				
500-3			n j w ɛ̃ m ³²				
501-3			tʰ u ³²				
506-3			dʒ æ p ⁵³				
507-3			n ɔ̃ ʔ ³				
509-3			l ə ŋ ⁴				
510-3			b j ə ŋ ⁴				
511-3			l ɔ̰ ʔ ³				
521-3			h au ³				
525-3			n j au ³¹				
538-3			tʃʰ au ³¹				
539-3			dʒ e ŋ ³²				
544-3			k j o̰ ʔ ⁵³				
550-3			tʰ ɔ ʔ ⁵²				
562-3			m j o ŋ ³				
568-3			g e ³¹				
2-3			kʰ o ŋ ³¹				
11-3			s ə ŋ ⁴³				
12-3			j ɔ ʔ ³¹				
22-3			g o ŋ ⁵¹				
28-3			b ø ⁵³				
29-3			tʰ u ʔ ⁵²				
30-3			w a ŋ ³¹				
35-3			l a̰ ŋ ³¹				
38-3			dʒ o ŋ ⁵¹				
42-3			pʰ ə ⁵				
46-3			tʃʰ o ³¹				
52-3			d ɔ ʔ ⁵²				
55-3			b ɛ m ⁵¹				
69-3			f o ʔ ⁵³				
79-3			g j ɛ m ⁵¹				
83-3			tʃʰ au ³¹				
86-3			j eː ŋ ⁴				
89-3			s a ŋ ⁵⁴				
90-3			pʰ ɔ ʔ ³				
92-3			kʰ ə ⁵				
106-3			k o̰ k ⁵³				
120-3			ts a̰ ḭ ʔ ⁵¹				
125-3			g ɛ n ³²				
148-3			d a ŋ ³				
163-3			ʃ e n ⁵				
173-3			pʰ ə ⁵³				
179-3			w ə ⁵				
186-3			ŋ ə ³				
187-3			l a ŋ ³				
197-3			n o̰i ʔ ⁵²				
209-3			kʰ o ŋ ³¹				
210-3			w ɛ m ³				
211-3			d au ³²				
213-3			n ə k ⁵⁴				
215-3			ts o̰i ʔ ⁵³				
220-3			tʰ u ŋ ⁵³				
237-3			ʃ e ⁵⁴				
239-3			n a m ³¹				
242-3			tsʰ u ³²				
248-3			kʰ ei ⁵				
252-3			g e ⁵¹				
255-3			b j u ⁵¹				
271-3			tʃʰ au ⁵⁴				
275-3			n õ ŋ ⁵				
277-3			tʃʰ a ŋ ⁵				
281-3			kʰ j ɔ ⁴				
283-3			l ḛ ʔ ⁵⁴				
295-3			kʰ o ʔ ⁵³				
300-3			g ai n ³				
302-3			tʃ ṵ ɛ̰ m ⁴¹				
309-3			l ɔ̰ ʔ ³				
312-3			ʔ au ⁵				
313-3			m o̰i ʔ ³				
314-3			tsʰ æ m ⁴³				
315-3			tʃʰ a ŋ ⁴⁵				
330-3			l e ³				
333-3			ʃ æ m ³				
338-3			m j ɔ ʔ ³				
346-3			ʃ i ʔ ³¹				
348-3			j e ʔ ³				
352-3			kʰ j o ŋ ⁵				
353-3			d z au ⁵³				
356-3			h a m ⁴				
357-3			s ɔ ʔ ⁵³				
358-3			ʃ ɛ ³¹				
361-3			j ɔ̰ ʔ ³²				
378-3			m j ɛ̰ ʔ ⁵²				
379-3			kʰ j e ⁴³				
388-3			g j o k ³²				
390-3			j ɔ ²¹				
398-3			j ɔ ³²				
399-3			g j ẽ ŋ ³²				
400-3			n ãɪ ⁴				
403-3			b j u ³¹				
406-3			tʰ o ʔ ⁵³				
407-3			s ɔ ⁴				
410-3			w a ŋ ³¹				
414-3			l a ŋ ²				
418-3			g j ɔ ⁴				
423-3			j au ³¹				
431-3			g o ŋ ³¹				
435-3			kʰ ɔ ʔ ⁵²				
438-3			tʰ au ⁴				
448-3			dʒ a ʔ ⁵³				
449-3			d z u ³²				
453-3			m ɔ ⁵				
465-3			tʰ e ⁵³				
471-3			j o k ³²				
472-3			ʔ ə k ⁵³				
474-3			m j e ⁴				
482-3			ʃ o ⁴²				
502-3			b o ³				
503-3			tsʰ u ³²				
505-3			l æ̰ m ³¹				
512-3			j u ⁴²				
515-3			d ai n ³				
517-3			dʒ a ŋ k ⁵³				
529-3			ʔ a ³				
530-3			s ə k ⁵³				
535-3			b a ŋ ³¹				
536-3			d u ³¹				
542-3			b w ɛ p ²				
561-3			n ə ŋ ²				
563-3			dʒ e ⁴⁵				
569-3			kʰ a ²⁴				
5-3			m ɔ ⁵³				
8-3			ŋ ãɪ ³				
16-3			j ø p ³				
21-3			g j o t ⁵²				
23-3			j ɪ n ⁵³				
24-3			ʔ ai ²⁵				
27-3			ts ai n ⁴				
34-3			g e ⁵¹				
36-3			b a ŋ ²³				
37-3			l ai ³²				
40-3			tʰ ø m ⁵				
41-3			b ø p ²¹				
47-3			m j ḛ ⁴³				
1-4				m o ʔ ³⁵			
4-4				l o̰ ⁴³			
18-4				m ḭ ⁵			
19-4				n a ³¹			
44-4				l au ⁴³			
50-4				x a ŋ ⁴²			
62-4				s a k ⁵			
70-4				p ḛ n ⁴			
75-4				m j o ʔ ²⁴			
97-4				tʃʰ a ³			
112-4				tsʰ o ⁴³			
122-4				m j æu ʔ ³¹			
127-4				kʰ a ²			
132-4				v ɔ ʔ ³²			
133-4				n o ŋ ⁴			
135-4				n o ŋ ³			
142-4				d z œ i ³¹			
143-4				ŋ ɔ̰ ʔ ⁵⁴			
149-4				au ⁵⁴			
152-4				ŋ o ³			
157-4				p o̰ ³			
183-4				ʔ au ³			
184-4				n au ʔ ⁴²			
185-4				tsʰ e ⁴¹			
189-4				m j ɔ ʔ ³²			
192-4				n o̰ ⁴¹			
195-4				n o ³			
200-4				kʰ ə t ³			
216-4				s a ŋ ³²			
218-4				l o ʔ ³²			
225-4				s a ŋ ⁴³			
235-4				kʰ i t ⁵³			
244-4				s a ²			
253-4				m j ɪ ²			
270-4				m ḭ ⁴			
278-4				m a̰ ŋ ³¹			
279-4				v o ²			
285-4				j a̰ m ³¹			
308-4				b j e ³²			
322-4				m i ⁴³			
325-4				kʰ o ʔ ⁵⁴			
337-4				m j a ⁴			
341-4				d z o ⁴			
347-4				ʃ au t ⁵³			
362-4				ɣ i ²			
391-4				j a̰ p ⁵			
394-4				m o ʔ ³²			
397-4				tʃʰ i t ⁵⁴			
443-4				n j a̰ p ⁵			
460-4				s ḛ ʔ ⁵⁴			
463-4				w ai ³			
464-4				ʔ au n ⁴			
473-4				s a m ⁴²			
476-4				kʰ j æu k ⁵⁴			
481-4				tsʰ e ⁵³			
494-4				ɣ i ³⁵			
496-4				x a ŋ ³			
516-4				w a ³⁴			
522-4				n o ʔ ²¹			
523-4				pʰ j u ³			
524-4				n e ³			
540-4				kʰ o ⁵			
3-4				b a ³¹			
6-4				g i ⁵²			
7-4				dʒ a̰ m ³¹			
20-4				n ɛ ʔ ³²			
39-4				m i ʔ ³			
51-4				ŋ oi ⁴²			
64-4				g ɔ ŋ ³¹			
65-4				k a̰u ʔ ⁵⁴			
66-4				d z au ⁴			
71-4				ʃ i ⁴³			
72-4				ʔ a ³			
76-4				v o ⁴			
77-4				m a̰ k ⁴²			
78-4				m o k ⁴³			
82-4				pʰ au ŋ ⁴			
87-4				ŋ o ʔ ³			
93-4				l e ⁴			
94-4				m i ²³			
119-4				w e ⁴¹			
124-4				p j ṵ ⁵²			
136-4				l œ i ³			
137-4				kʰ j o ʔ ⁵²			
139-4				m ḭ ⁴³			
144-4				s ai t ⁵⁴			
145-4				d au ŋ ⁴¹			
146-4				m o̰ k ⁵			
150-4				ɣ ɔ ʔ ³²			
154-4				m o̰i ³²			
165-4				k a̰ n ³			
166-4				pʰ j ɔ ³¹			
169-4				g j a̰ ²¹			
170-4				b j ɔ ²			
174-4				l e ³¹			
181-4				m j ɔ ʔ ³			
193-4				b ə ³²			
205-4				n a̰ ḭ ʔ ⁵⁴			
206-4				m o̰ k ⁴			
212-4				tʃʰ o ʔ ⁵⁴			
217-4				ʔ au ³¹			
224-4				n j o̰ ʔ ⁵			
228-4				b au ŋ ³¹			
238-4				ɣ o k ³			
241-4				ʃ ɔ ³²			
246-4				g j œ ²			
256-4				j ɪ p ²			
257-4				pʰ ɔ ⁴³			
272-4				m ɔ ⁴			
273-4				j ə ²			
274-4				m a ²			
286-4				kʰ a m ³			
289-4				kʰ au ŋ ³¹			
294-4				ʔ au ²			
301-4				ɣ o ʔ ³²			
306-4				kʰ j æ p ⁵			
307-4				ŋ ḛ ʔ ⁵⁴			
321-4				tʰ a ³²			
331-4				m i ³			
332-4				l e ³²			
335-4				g j o ⁵			
336-4				n j e ³			
340-4				ŋ o ʔ ³²			
342-4				m j u ʔ ³			
360-4				dʒ a̰ p ⁵⁴			
389-4				n a̰ k ⁵⁴			
395-4				n o ²³			
401-4				ʃ i t ⁵⁴			
404-4				d z au ŋ ³			
408-4				d u ⁴²			
409-4				l o ³			
413-4				d u m ⁵⁴			
421-4				n a p ⁴			
425-4				p j i t ⁵⁴			
430-4				tʃʰ i t ⁵⁴			
442-4				d au t ⁴			
447-4				tʰ au n ⁵			
456-4				g o ³⁴			
458-4				ʃ ɪ ⁵⁴			
469-4				kʰ o ʔ ⁵⁴			
470-4				d e ³			
475-4				ŋ ɔ ³⁵			
477-4				n a̰ ḭ ʔ ⁵⁴			
478-4				ʃ ø ʔ ⁵			
480-4				g o k ⁴³			
485-4				m j ɔ ⁴⁵			
495-4				ŋ ai ²³			
499-4				m j a̰ ³			
500-4				m j a̰ m ⁵			
501-4				tʰ au ³			
507-4				n o ʔ ⁴³			
510-4				b j a ŋ ³⁴			
511-4				l o ʔ ³			
521-4				ʔ ai ³¹			
525-4				n j o̰ ʔ ⁴²			
538-4				tʃʰ o k ⁵⁴			
539-4				dʒ ɪ n ³²			
544-4				k j a̰u ʔ ⁵³			
550-4				tʰ o ʔ ⁵⁴			
562-4				m j æu ŋ ⁴⁵			
568-4				g ai ²			
2-4				g au ŋ ⁵¹			
11-4				s a ŋ k ⁵³			
12-4				j a ⁴¹			
22-4				g au ³¹			
28-4				b a ³¹			
29-4				tʰ u k ⁵			
30-4				w a ³²			
42-4				b ə t ³			
46-4				tʃʰ ø ³¹			
