ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGNACY
387	74_bear	bear	Phon	Phon	we⁵⁵	we⁵⁵	w e ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	119	119
388	74_bear	bear	WrittenBurmese	Written_Burmese	wam	wam	w a m	oldb1235	21.16	94.90	Sino-Tibetan	119	119
389	74_bear	bear	Zaiwa	Zaiwa	vam³¹	vam³¹	v a m ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	119	119
711	136_beard	beard	Achang	Achang	nɔ̣t⁵⁴ mi⁴²	nɔ̣t⁵⁴ mi⁴²	n ɔ̰ t ⁵⁴ + m i ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	205 206	205 206
712	136_beard	beard	Bela	Bela	nau⁵² mjɛ⁵²	nau⁵² mjɛ⁵²	n au ⁵² + m j ɛ ⁵²	pela1242	24.45	98.6	Sino-Tibetan	205 206	205 206
713	136_beard	beard	Lashi	Lashi	nọịɂ⁵³ mɨ³²	nọịɂ⁵³ mɨ³²	n o̰i ʔ ⁵³ + m ɨ ³²	lash1243	24.45	98.6	Sino-Tibetan	205 206	205 206
714	136_beard	beard	Maru	Maru	nạịɂ⁵⁴ mọk⁴	nạịɂ⁵⁴ mọk⁴	n a̰ ḭ ʔ ⁵⁴ + m o̰ k ⁴	maru1249	24.45	98.6	Sino-Tibetan	205 206	205 206
715	136_beard	beard	WrittenBurmese	Written_Burmese	na: mut	na: mut	n aː + m u t	oldb1235	21.16	94.90	Sino-Tibetan	205 206	205 206
716	136_beard	beard	Zaiwa	Zaiwa	nʊ̣t⁵ mui³¹	nʊ̣t⁵ mui³¹	n ʊ̰ t ⁵ + m u/w i ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	205 206	205 206
595	115_bee	bee	Achang	Achang	djɔ³	djɔ³	d j ɔ ³	acha1249	24.25	97.8333	Sino-Tibetan	170	170
596	115_bee	bee	Bela	Bela	pja⁵²	pja⁵²	p j a ⁵²	pela1242	24.45	98.6	Sino-Tibetan	170	170
597	115_bee	bee	Lashi	Lashi	bjɔ³	bjɔ³	b j ɔ ³	lash1243	24.45	98.6	Sino-Tibetan	170	170
598	115_bee	bee	Maru	Maru	bjɔ²	bjɔ²	b j ɔ ²	maru1249	24.45	98.6	Sino-Tibetan	170	170
599	115_bee	bee	WrittenBurmese	Written_Burmese	pja:	pja:	p j aː	oldb1235	21.16	94.90	Sino-Tibetan	170	170
600	115_bee	bee	Zaiwa	Zaiwa	bjɔ³¹	bjɔ³¹	b j ɔ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	170	170
294	54_betelnut	betel nut	Achang	Achang	tʃʰa³	tʃʰa³	tʃʰ a ³	acha1249	24.25	97.8333	Sino-Tibetan	84	84
295	54_betelnut	betel nut	Lashi	Lashi	tʃʰa⁵⁴	tʃʰa⁵⁴	tʃʰ a ⁵⁴	lash1243	24.45	98.6	Sino-Tibetan	84	84
1755	339_big	big	Achang	Achang	gu⁵⁴	gu⁵⁴	g u ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	494	494
1756	339_big	big	Bela	Bela	kọ²³	kọ²³	k o̰ ²³	pela1242	24.45	98.6	Sino-Tibetan	494	494
1757	339_big	big	Lashi	Lashi	ge³	ge³	g e ³	lash1243	24.45	98.6	Sino-Tibetan	494	494
1758	339_big	big	Maru	Maru	ɣi³⁵	ɣi³⁵	ɣ i ³⁵	maru1249	24.45	98.6	Sino-Tibetan	494	494
1759	339_big	big	Phon	Phon	cʰi³¹	cʰi³¹	tsʰ i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	494	494
1760	339_big	big	WrittenBurmese	Written_Burmese	kri:	kri:	k r iː	oldb1235	21.16	94.90	Sino-Tibetan	494	494
1761	339_big	big	Zaiwa	Zaiwa	kɔ̣⁵³	kɔ̣⁵³	k ɔ̰ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	494	494
483	93_bird	bird	Achang	Achang	ŋɔ̣ɂ⁵²	ŋɔ̣ɂ⁵²	ŋ ɔ̰ ʔ ⁵²	acha1249	24.25	97.8333	Sino-Tibetan	143	143
484	93_bird	bird	Bela	Bela	ŋạɂ⁵²	ŋạɂ⁵²	ŋ a̰ ʔ ⁵²	pela1242	24.45	98.6	Sino-Tibetan	143	143
485	93_bird	bird	Lashi	Lashi	ŋɔ̣ɂ⁵²	ŋɔ̣ɂ⁵²	ŋ ɔ̰ ʔ ⁵²	lash1243	24.45	98.6	Sino-Tibetan	143	143
486	93_bird	bird	Maru	Maru	ŋɔ̣ɂ⁵⁴	ŋɔ̣ɂ⁵⁴	ŋ ɔ̰ ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	143	143
487	93_bird	bird	Phon	Phon	ŋa³¹	ŋa³¹	ŋ a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	143	143
488	93_bird	bird	WrittenBurmese	Written_Burmese	hŋak	hŋak	h ŋ a k	oldb1235	21.16	94.90	Sino-Tibetan	143	143
489	93_bird	bird	Zaiwa	Zaiwa	ŋɔ̣ɂ⁵⁴	ŋɔ̣ɂ⁵⁴	ŋ ɔ̰ ʔ ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	143	143
490	94_birdnest	bird nest	Achang	Achang	suat⁵⁴	suat⁵⁴	s u/w a t ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	144	144
491	94_birdnest	bird nest	Lashi	Lashi	soiɂ⁵³	soiɂ⁵³	s oi ʔ ⁵³	lash1243	24.45	98.6	Sino-Tibetan	144	144
492	94_birdnest	bird nest	Maru	Maru	sait⁵⁴	sait⁵⁴	s ai t ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	144	144
493	94_birdnest	bird nest	Phon	Phon	ʃaɂ³¹	ʃaɂ³¹	ʃ a ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	144	144
494	94_birdnest	bird nest	WrittenBurmese	Written_Burmese	suik	suik	s u/w i k	oldb1235	21.16	94.90	Sino-Tibetan	144	144
495	94_birdnest	bird nest	Zaiwa	Zaiwa	sʊt⁵	sʊt⁵	s ʊ t ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	144	144
428	83_bite	bite	Achang	Achang	ŋat³¹	ŋat³¹	ŋ a t ³¹	acha1249	24.25	97.8333	Sino-Tibetan	131	131
429	83_bite	bite	Lashi	Lashi	ŋait³	ŋait³	ŋ ai t ³	lash1243	24.45	98.6	Sino-Tibetan	131	131
430	83_bite	bite	Maru	Maru	na³²	na³²	n a ³²	maru1249	24.45	98.6	Sino-Tibetan	131	131
431	83_bite	bite	Zaiwa	Zaiwa	ŋat³²	ŋat³²	ŋ a t ³²	zaiw1241	24.45	98.6	Sino-Tibetan	131	131
1959	376_bitter	bitter	Achang	Achang	kʰɔ⁵	kʰɔ⁵	kʰ ɔ ⁵	acha1249	24.25	97.8333	Sino-Tibetan	540	540
1960	376_bitter	bitter	Bela	Bela	kʰa²³	kʰa²³	kʰ a ²³	pela1242	24.45	98.6	Sino-Tibetan	540	540
1961	376_bitter	bitter	Lashi	Lashi	kʰɔ⁴	kʰɔ⁴	kʰ ɔ ⁴	lash1243	24.45	98.6	Sino-Tibetan	540	540
1962	376_bitter	bitter	Maru	Maru	kʰo⁵	kʰo⁵	kʰ o ⁵	maru1249	24.45	98.6	Sino-Tibetan	540	540
1963	376_bitter	bitter	Phon	Phon	kʰa³¹	kʰa³¹	kʰ a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	540	540
1964	376_bitter	bitter	WrittenBurmese	Written_Burmese	kʰa:	kʰa:	kʰ aː	oldb1235	21.16	94.90	Sino-Tibetan	540	540
1965	376_bitter	bitter	Zaiwa	Zaiwa	kʰɔ⁵³	kʰɔ⁵³	kʰ ɔ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	540	540
1885	362_black	black	Achang	Achang	nɔɂ³¹	nɔɂ³¹	n ɔ ʔ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	522	522
1886	362_black	black	Bela	Bela	naɂ⁵²	naɂ⁵²	n a ʔ ⁵²	pela1242	24.45	98.6	Sino-Tibetan	522	522
1887	362_black	black	Lashi	Lashi	nɔ̃ɂ³	nɔ̃ɂ³	n ɔ̃ ʔ ³	lash1243	24.45	98.6	Sino-Tibetan	522	522
1888	362_black	black	Maru	Maru	noɂ²¹	noɂ²¹	n o ʔ ²¹	maru1249	24.45	98.6	Sino-Tibetan	522	522
1889	362_black	black	Phon	Phon	nuɂ³¹	nuɂ³¹	n u ʔ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	522	522
1890	362_black	black	WrittenBurmese	Written_Burmese	nak	nak	n a k	oldb1235	21.16	94.90	Sino-Tibetan	522	522
1891	362_black	black	Zaiwa	Zaiwa	nɔɂ³	nɔɂ³	n ɔ ʔ ³	zaiw1241	24.45	98.6	Sino-Tibetan	522	522
1026	194_blanket	blanket	Achang	Achang	mi³¹	mi³¹	m i ³¹	acha1249	24.25	97.8333	Sino-Tibetan	296	296
1027	194_blanket	blanket	Lashi	Lashi	mẹị⁵¹	mẹị⁵¹	m ḛ ḭ ⁵¹	lash1243	24.45	98.6	Sino-Tibetan	296	296
1028	194_blanket	blanket	Maru	Maru	mai³² pʰoɂ⁴	mai³² pʰoɂ⁴	m ai ³² + pʰ o ʔ ⁴	maru1249	24.45	98.6	Sino-Tibetan	296 297	296 297
1029	194_blanket	blanket	Zaiwa	Zaiwa	pʰə³ dʒɔŋ³⁴	pʰə³ dʒɔŋ³⁴	pʰ ə ³ + dʒ ɔ ŋ ³⁴	zaiw1241	24.45	98.6	Sino-Tibetan	297 298	297 298
1030	194_blanket	blanket	WrittenBurmese	Written_Burmese	cauŋ	cauŋ	ts au ŋ	oldb1235	21.16	94.90	Sino-Tibetan	298	298
2038	394_blind	blind	Achang	Achang	dʒɛt³¹	dʒɛt³¹	dʒ ɛ t ³¹	acha1249	24.25	97.8333	Sino-Tibetan	563	563
2039	394_blind	blind	Lashi	Lashi	dʒe⁴⁵	dʒe⁴⁵	dʒ e ⁴⁵	lash1243	24.45	98.6	Sino-Tibetan	563	563
2040	394_blind	blind	Maru	Maru	dʒit⁵³	dʒit⁵³	dʒ i t ⁵³	maru1249	24.45	98.6	Sino-Tibetan	563	563
2041	394_blind	blind	Phon	Phon	sʰi³¹	sʰi³¹	sʰ i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	563	563
2042	394_blind	blind	Zaiwa	Zaiwa	dʒɪt³²	dʒɪt³²	dʒ ɪ t ³²	zaiw1241	24.45	98.6	Sino-Tibetan	563	563
850	164_blood	blood	Achang	Achang	sui⁵	sui⁵	s u/w i ⁵	acha1249	24.25	97.8333	Sino-Tibetan	244	244
851	164_blood	blood	Bela	Bela	sui²³	sui²³	s u/w i ²³	pela1242	24.45	98.6	Sino-Tibetan	244	244
852	164_blood	blood	Lashi	Lashi	soi⁵	soi⁵	s oi ⁵	lash1243	24.45	98.6	Sino-Tibetan	244	244
853	164_blood	blood	Maru	Maru	sa²	sa²	s a ²	maru1249	24.45	98.6	Sino-Tibetan	244	244
854	164_blood	blood	Phon	Phon	ʃui³¹	ʃui³¹	ʃ u/w i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	244	244
855	164_blood	blood	WrittenBurmese	Written_Burmese	swe:	swe:	s w eː	oldb1235	21.16	94.90	Sino-Tibetan	244	244
856	164_blood	blood	Zaiwa	Zaiwa	sui⁴²	sui⁴²	s u/w i ⁴²	zaiw1241	24.45	98.6	Sino-Tibetan	244	244
2002	385_blunt	blunt	Achang	Achang	duam³	duam³	d u/w a m ³	acha1249	24.25	97.8333	Sino-Tibetan	551	551
2003	385_blunt	blunt	WrittenBurmese	Written_Burmese	tum:	tum:	t u mː/m	oldb1235	21.16	94.90	Sino-Tibetan	551	551
979	185_boat	boat	Lashi	Lashi	lẹɂ⁵⁴	lẹɂ⁵⁴	l ḛ ʔ ⁵⁴	lash1243	24.45	98.6	Sino-Tibetan	283	283
980	185_boat	boat	Maru	Maru	lạ³¹ ɣit²	lạ³¹ ɣit²	l a̰ ³¹ + ɣ i t ²	maru1249	24.45	98.6	Sino-Tibetan	283 284	283 284
