COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
290-1	ə g aː aː a																		
489-1	b ɨ i r Ø u m ə																		
602-1	m ɨ n																		
2-1	n u l u n																		
3-1	Ø ɨ r a a ə																		
61-2		d ə m																	
63-2		a Ø ɨ m ə																	
107-2		Ø e m e lː a																	
112-2		d a b ə n e																	
331-2		n ɨ Ø s																	
377-2		b ə kʼ ə Ø lː Ø																	
381-2		a ə ə Ø d																	
417-2		r u dʒ																	
451-2		s ə ə b e Ø																	
454-2		a ə Ø ɨ r																	
484-2		s ɨ Ø ɨ s Ø																	
535-2		a s ɨ r																	
543-2		s o Ø Ø s Ø																	
593-2		ʔ a m ə u s																	
640-2		m ə a n ə																	
1-2		d ə b ə r ə ə																	
65-2		Ø u ə ə ə																	
163-2		s ə t ə																	
212-2		e n																	
244-2		a r b ə Ø Ø Ø																	
248-2		m ə u Ø e																	
293-2		f ə r ə dʒ																	
373-2		kʼ ə ɨ m e lː																	
408-2		b e r e																	
414-2		d b e kʼ a																	
642-2		ə ə n ɨ f a s																	
60-2		n ə f ə s ə ə																	
115-2		Ø lː a ə m																	
209-2		s ɨ ə u Ø																	
242-2		a m ɨ s Ø																	
415-2		dʒ ɨ n a b																	
450-2		dʒ ə r Ø																	
490-2		Ø ə b ə ə																	
645-2		kʼ a lː																	
160-2		Ø ə r ə kʼ ə																	
208-2		ʔ ɨ n kʼ e																	
378-2		ʔ a n g ə Ø																	
379-2		Ø ə ə																	
409-2		n i ə t ə r ə																	
598-2		Ø lː e t																	
646-2		ʔ a Ø ə																	
210-2		Ø ə Ø ə n Ø																	
215-2		ʔ e n Ø j b ə Ø																	
285-2		m ɨ t a d																	
380-2		ʔ Ø Ø Ø j a																	
412-2		s a Ø u n																	
496-2		s ə n b ə Ø Ø Ø Ø Ø																	
64-2		d a Ø Ø o																	
251-2		f u kʼ Ø Ø																	
294-2		ə ə m j ə kʼ																	
597-2		ʔ eː n m ə ə																	
7-2		ʔ a lː g e																	
158-2		kʼ ə m Ø i s Ø																	
296-2		ʔ ə n Ø Ø Ø e																	
375-2		s ə b																	
541-2		kʼ ə Ø n																	
113-2		b u n a																	
252-2		ə Ø ə b ə																	
330-2		kʼ e lː d Ø																	
449-2		e ə																	
491-2		d ɨ n g ə t																	
545-2		Ø ɨ ə Ø																	
596-2		n ə g ə																	
4-2		g i Ø i ə																	
106-2		m ə ə Ø																	
254-2		Ø i m Ø e t																	
290-2		e n ə Ø ə Ø																	
602-2		m n																	
2-2		Ø n u lː																	
3-2		Ø e Ø Ø ə																	
61-3			Ø Ø Ø																
63-3			ʔ a Ø Ø Ø Ø																
107-3			Ø a Ø Ø l a																
112-3			Ø a b Ø Ø a																
331-3			Ø Ø Ø Ø Ø Ø																
377-3			b Ø Ø Ø Ø Ø																
381-3			ʔ a Ø Ø Ø Ø Ø																
417-3			Ø Ø Ø																
451-3			Ø Ø Ø Ø Ø b a Ø Ø																
454-3			ʔ a Ø Ø Ø Ø Ø Ø																
484-3			Ø Ø Ø Ø Ø Ø Ø Ø																
535-3			ʔ a Ø Ø Ø Ø Ø																
543-3			Ø Ø Ø Ø Ø Ø Ø																
593-3			ʔ a Ø u Ø																
640-3			Ø Ø a Ø Ø																
1-3			Ø Ø Ø Ø Ø Ø Ø																
65-3			Ø Ø Ø Ø Ø Ø																
163-3			Ø Ø Ø Ø Ø Ø																
212-3			ʔ Ø Ø Ø																
244-3			ʔ a Ø b a Ø Ø Ø Ø																
248-3			Ø u Ø Ø Ø a																
293-3			Ø Ø Ø Ø Ø																
373-3			Ø Ø Ø Ø a Ø																
408-3			b Ø Ø Ø Ø a																
414-3			Ø Ø b a Ø u Ø a																
601-3			ʔ Ø Ø Ø b Ø Ø Ø																
642-3			Ø Ø Ø Ø Ø a Ø																
60-3			Ø Ø Ø Ø Ø Ø Ø																
115-3			Ø l a Ø Ø																
209-3			Ø Ø Ø Ø u Ø Ø Ø																
242-3			ʔ a Ø Ø Ø Ø Ø Ø																
415-3			Ø Ø Ø a b																
450-3			Ø Ø Ø Ø Ø Ø																
490-3			Ø Ø Ø Ø Ø Ø																
638-3			Ø Ø Ø Ø Ø Ø																
645-3			Ø a l																
75-3			ʔ a Ø b Ø Ø Ø																
160-3			t Ø Ø Ø Ø																
208-3			ʔ Ø Ø Ø Ø Ø Ø a Ø Ø																
214-3			ʔ a b Ø Ø																
218-3			ʔ Ø Ø Ø Ø Ø																
378-3			ʔ a Ø Ø Ø Ø																
379-3			Ø Ø Ø Ø Ø Ø																
409-3			Ø a Ø t Ø Ø Ø																
497-3			Ø Ø Ø																
598-3			Ø Ø Ø Ø Ø t Ø																
646-3			ʔ a Ø Ø Ø Ø Ø																
164-3			b Ø Ø Ø Ø																
210-3			Ø Ø Ø Ø Ø Ø Ø																
215-3			ʔ a Ø Ø Ø b Ø Ø																
256-3			Ø u Ø a																
285-3			Ø Ø Ø a Ø																
332-3			ʔ Ø Ø Ø Ø Ø Ø																
380-3			ʔ a Ø Ø Ø Ø																
412-3			Ø a ʔ Ø Ø																
496-3			Ø u Ø Ø Ø Ø Ø Ø b Ø Ø Ø Ø Ø Ø																
64-3			Ø a Ø Ø																
67-3			Ø Ø Ø Ø Ø																
169-3			Ø Ø Ø Ø Ø Ø Ø Ø o																
251-3			Ø Ø Ø Ø Ø																
461-3			Ø e																
547-3			Ø Ø Ø a Ø																
597-3			ʔ Ø Ø Ø Ø Ø Ø Ø a																
655-3			Ø Ø Ø Ø Ø Ø Ø																
7-3			ʔ a Ø Ø a																
158-3			Ø Ø Ø Ø Ø																
168-3			ʔ Ø Ø a Ø																
296-3			Ø Ø Ø Ø Ø Ø Ø																
372-3			Ø Ø Ø Ø Ø Ø																
374-3			b Ø Ø Ø Ø Ø Ø Ø Ø																
375-3			Ø Ø b																
385-3			Ø Ø Ø Ø Ø																
411-3			Ø Ø t Ø Ø Ø Ø a Ø																
500-3			ʔ Ø Ø Ø Ø Ø																
6-3			Ø Ø l Ø a Ø a																
17-3			ʔ Ø Ø Ø Ø																
123-3			Ø Ø Ø Ø Ø Ø																
252-3			Ø Ø Ø Ø b Ø Ø																
421-3			b Ø Ø Ø																
448-3			Ø Ø Ø a Ø Ø Ø Ø Ø b Ø Ø																
449-3			ʔ a Ø Ø Ø Ø																
545-3			Ø Ø Ø Ø Ø Ø																
596-3			Ø Ø Ø Ø																
653-3			b Ø Ø Ø Ø																
4-3			Ø Ø Ø Ø Ø Ø Ø																
254-3			Ø u Ø a t																
290-3			ʔ a Ø Ø Ø Ø																
339-3			b Ø Ø Ø Ø																
460-3			Ø Ø Ø Ø t																
489-3			b Ø Ø Ø Ø Ø Ø a																
552-3			Ø Ø Ø Ø Ø																
652-3			ʔ Ø Ø Ø Ø Ø																
61-4				Ø ə m															
63-4				Ø Ø Ø Ø Ø m Ø															
107-4				g Ø m Ø Ø Ø															
112-4				Ø Ø b ə n Ø															
331-4				n Ø g Ø Ø Ø Ø															
377-4				b Ø Ø kʼ Ø Ø Ø Ø															
381-4				Ø Ø Ø Ø Ø Ø Ø															
417-4				Ø Ø Ø															
451-4				Ø ə Ø Ø Ø b Ø Ø Ø															
454-4				Ø Ø Ø Ø Ø Ø Ø Ø															
484-4				Ø Ø Ø Ø Ø Ø Ø Ø															
535-4				Ø Ø Ø Ø Ø Ø Ø															
543-4				Ø ə Ø Ø Ø Ø Ø															
593-4				Ø Ø m Ø Ø Ø															
640-4				m Ø n Ø															
1-4				Ø ə Ø ə Ø ə															
65-4				Ø Ø o Ø Ø Ø															
163-4				Ø ə Ø Ø Ø Ø															
408-4				b Ø Ø Ø Ø Ø															
414-4				Ø Ø b Ø kʼ Ø															
601-4				Ø Ø Ø o Ø Ø Ø Ø															
642-4				Ø Ø n o Ø Ø Ø															
60-4				n Ø Ø ə Ø ə															
115-4				Ø Ø Ø Ø Ø m															
450-4				Ø ə Ø Ø Ø Ø															
490-4				Ø ə Ø Ø Ø Ø															
638-4				Ø Ø o Ø Ø Ø Ø															
645-4				kʼ Ø Ø															
75-4				Ø Ø m b Ø Ø Ø															
160-4				Ø Ø Ø ə kʼ Ø															
378-4				Ø Ø l g Ø Ø Ø Ø															
379-4				Ø Ø Ø Ø Ø ə Ø Ø															
409-4				g ə Ø Ø ə Ø Ø															
497-4				Ø ə Ø Ø n															
598-4				Ø Ø Ø Ø Ø Ø															
646-4				Ø Ø Ø Ø Ø ə Ø															
164-4				b ə kʼ Ø Ø ə															
332-4				Ø ə Ø g Ø Ø Ø															
380-4				Ø Ø Ø Ø Ø ə															
412-4				Ø ə Ø Ø n Ø															
64-4				Ø Ø Ø Ø Ø Ø															
67-4				Ø Ø Ø Ø Ø Ø															
169-4				Ø Ø Ø Ø ə Ø ə m Ø															
461-4				Ø Ø Ø Ø															
547-4				Ø Ø Ø Ø Ø															
597-4				Ø Ø m Ø Ø ə l Ø															
655-4				m Ø Ø Ø Ø Ø Ø															
158-4				kʼ Ø m Ø Ø															
168-4				Ø Ø m Ø Ø															
372-4				Ø ə n Ø ə Ø															
374-4				b ə Ø Ø Ø Ø Ø Ø Ø															
375-4				Ø ə b Ø Ø															
385-4				Ø Ø Ø ə Ø															
411-4				Ø Ø Ø Ø Ø															
500-4				Ø Ø m Ø Ø Ø															
541-4				kʼ Ø Ø Ø n															
6-4				m ə Ø Ø Ø m Ø															
17-4				Ø Ø Ø Ø Ø															
330-4				kʼ ə Ø Ø Ø Ø															
421-4				b Ø Ø Ø															
449-4				Ø Ø Ø Ø Ø Ø															
545-4				Ø Ø Ø Ø o Ø															
596-4				n ə g Ø															
653-4				b ə Ø Ø Ø															
4-4				g Ø Ø b Ø															
8-4				kʼ ə b ə Ø Ø Ø Ø															
106-4				m ə o Ø Ø Ø															
339-4				b Ø kʼ Ø Ø Ø															
489-4				b Ø Ø Ø Ø Ø m Ø															
652-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø															
61-5					Ø ə m														
63-5					ʔ a Ø Ø Ø m Ø														
107-5					g ə m Ø Ø a														
112-5					Ø Ø Ø ə n o														
331-5					n Ø g Ø Ø Ø Ø														
377-5					b Ø ə kʼ Ø Ø Ø ə														
381-5					ʔ a Ø Ø Ø Ø Ø														
417-5					Ø u Ø														
451-5					Ø ə Ø Ø Ø b o Ø Ø														
454-5					ʔ a Ø Ø Ø Ø Ø Ø														
484-5					Ø Ø Ø Ø Ø Ø Ø Ø														
535-5					ʔ a Ø Ø Ø Ø Ø														
543-5					Ø o Ø Ø Ø Ø Ø														
593-5					ʔ a m Ø u Ø														
640-5					m Ø a n Ø														
1-5					Ø Ø Ø ə Ø ə														
65-5					Ø b Ø Ø Ø														
163-5					Ø ə Ø Ø Ø ə														
212-5					ʔ Ø n Ø														
244-5					ʔ a Ø b Ø Ø Ø Ø														
248-5					m u Ø Ø ə														
293-5					Ø ə Ø ə Ø														
373-5					kʼ Ø u m Ø Ø														
408-5					b Ø Ø Ø Ø Ø														
414-5					Ø ə b a kʼ u a														
601-5					ʔ Ø Ø Ø b Ø Ø Ø														
642-5					Ø Ø n Ø Ø a Ø														
60-5					n ə Ø ə Ø ə														
115-5					Ø Ø a Ø m														
209-5					Ø u Ø Ø Ø Ø Ø														
242-5					ʔ a m Ø Ø Ø Ø														
415-5					Ø Ø n a b														
450-5					Ø ə Ø Ø Ø Ø														
490-5					Ø Ø Ø Ø Ø ə														
638-5					Ø Ø Ø n Ø Ø														
645-5					kʼ a Ø														
75-5					ʔ a m b Ø Ø Ø														
160-5					Ø ə Ø ə kʼ Ø														
208-5					ʔ Ø n kʼ Ø Ø Ø Ø Ø														
214-5					ʔ a b Ø Ø														
218-5					ʔ u n Ø Ø Ø Ø														
378-5					ʔ a l g Ø ə Ø Ø														
379-5					Ø ə Ø Ø ə Ø Ø														
409-5					g a Ø t ə Ø Ø														
497-5					Ø Ø Ø Ø l														
598-5					ʔ Ø Ø Ø Ø t Ø														
164-5					b ə Ø Ø Ø ə Ø														
210-5					Ø ə o Ø ə Ø Ø														
215-5					ʔ o Ø Ø Ø b ə Ø														
256-5					Ø u m Ø														
285-5					m Ø Ø a Ø														
332-5					ʔ ə Ø g Ø Ø Ø														
380-5					ʔ a o Ø Ø Ø														
496-5					Ø u Ø Ø Ø ə n b ə Ø														
64-5					Ø a Ø Ø Ø o														
67-5					Ø Ø Ø Ø Ø Ø														
169-5					l ə Ø Ø ə Ø ə Ø o														
251-5					Ø Ø kʼ Ø Ø														
294-5					Ø Ø m Ø Ø Ø kʼ Ø Ø Ø Ø														
461-5					Ø Ø Ø Ø														
547-5					Ø Ø Ø Ø Ø														
597-5					ʔ Ø Ø Ø m ə Ø o														
655-5					m Ø Ø Ø Ø Ø Ø														
7-5					ʔ a Ø g Ø														
168-5					ʔ ə m a Ø														
296-5					Ø ə Ø Ø Ø Ø														
372-5					Ø ə n Ø ə Ø														
374-5					b Ø kʼ o Ø Ø Ø o														
375-5					Ø ə b Ø Ø														
385-5					Ø Ø Ø ə Ø														
411-5					Ø t Ø Ø a Ø														
500-5					ʔ Ø m Ø Ø Ø														
6-5					m ə Ø Ø m a														
17-5					ʔ ə ʔ Ø Ø														
113-5					b u Ø o														
123-5					Ø Ø m ə														
252-5					Ø ə ʔ ə b ə Ø														
421-5					b u Ø ə														
448-5					kʼ ə Ø Ø Ø Ø ə n b ə Ø														
449-5					ʔ Ø Ø Ø ə Ø														
545-5					ʔ Ø l ə Ø Ø														
596-5					n ə g ə														
653-5					b ə Ø ə Ø														
4-5					g Ø Ø Ø Ø b ə														
8-5					kʼ ə b ə Ø Ø o														
290-5					ʔ Ø g ə Ø Ø Ø														
339-5					b ə kʼ Ø Ø														
460-5					Ø Ø Ø Ø t Ø														
489-5					b Ø Ø Ø Ø Ø Ø Ø														
552-5					Ø Ø Ø Ø														
602-5					m Ø n Ø Ø														
652-5					ʔ ə Ø t ə Ø Ø ə														
3-5					Ø o n Ø Ø Ø														
61-6						Ø ə m													
63-6						Ø Ø Ø ɨ m													
107-6						g Ø m Ø Ø													
112-6						Ø Ø b ə n Ø													
331-6						n ɨ g Ø s													
377-6						b a kʼ Ø Ø Ø													
381-6						Ø Ø Ø													
417-6						r Ø													
451-6						s ə b t													
454-6						Ø Ø ɨ Ø ɨ r													
484-6						s ɨ Ø ɨ s t													
535-6						Ø Ø ʃ ɨ r													
543-6						s Ø s t													
593-6						Ø Ø m u s													
640-6						m Ø n													
1-6						Ø ə b ə r ə													
163-6						s ə Ø ə													
212-6						Ø n													
244-6						ʔ Ø r b Ø t													
248-6						m u Ø Ø													
293-6						f ə r ə													
373-6						kʼ Ø m Ø Ø													
408-6						b Ø r Ø													
601-6						Ø ə r Ø b													
642-6						ɨ n ɨ f Ø s													
60-6						n ə Ø ə r ə													
115-6						Ø Ø Ø m													
242-6						ʔ Ø Ø ɨ ɨ s t ɨ													
415-6						ɨ n Ø b													
450-6						ə r ɨ													
490-6						tʼ ə b ə													
638-6						s ɨː ɨ													
645-6						kʼ Ø Ø													
75-6						Ø Ø m b ɨː Ø													
208-6						ʔ ɨ n kʼ ɨ ɨː Ø ɨ ɨ													
214-6						Ø Ø b ɨ													
218-6						Ø ɨː n Ø ɨː Ø													
409-6						Ø Ø t ə r Ø													
497-6						Ø Ø ɨ ɨ n													
598-6						Ø ɨ h Ø t ɨ													
646-6						ʔ Ø ɨ Ø ə ɨ													
215-6						Ø Ø ɨ Ø Ø ə Ø													
256-6						Ø u Ø Ø													
294-6						m Ø kʼ													
655-6						m ɨː s ɨ Ø													
158-6						kʼ aː m i s													
372-6						Ø ə n Ø ə r													
375-6						s ə b													
411-6						t Ø r Ø s													
500-6						Ø ɨː m ɨː r													
541-6						kʼ ə Ø u n													
113-6						b Ø n ɨ													
252-6						r Ø Ø ə b Ø													
330-6						kʼ ə Ø Ø													
448-6						kʼ ə tʼ Ø Ø s ə n b ə t													
106-6						m ə Ø Ø													
290-6						Ø Ø Ø ə ə													
460-6						ʔ ɨ Ø ɨ Ø													
552-6						ɨː													
602-6						m ɨ n ɨ													
2-6						Ø Ø Ø Ø													
61-7							Ø ə Ø												
63-7							ʔ a Ø Ø Ø Ø Ø												
107-7							Ø a Ø Ø l a												
112-7							Ø a ə n a												
331-7							n Ø Ø Ø s Ø												
377-7							Ø Ø Ø kʼ Ø Ø Ø ɨ												
381-7							ʔ a Ø Ø Ø Ø												
417-7							Ø u Ø												
451-7							s ə a Ø Ø												
454-7							ʔ a Ø Ø Ø Ø Ø Ø												
484-7							s Ø Ø Ø s Ø Ø Ø												
535-7							ʔ a s Ø Ø Ø Ø												
543-7							s o Ø Ø s Ø Ø												
593-7							ʔ a Ø u s												
640-7							Ø a n Ø												
1-7							Ø ɨ Ø ə Ø ə												
65-7							Ø u b Ø Ø												
163-7							s ə Ø Ø Ø Ø												
212-7							ʔ Ø n												
244-7							ʔ a Ø a Ø												
248-7							Ø u Ø a												
293-7							Ø ə Ø ə Ø												
373-7							kʼ Ø Ø a Ø												
408-7							Ø o Ø Ø Ø a												
414-7							Ø Ø w a kʼ u a												
601-7							ʔ ɨ Ø o b Ø Ø Ø												
642-7							n Ø Ø a s												
60-7							n ə Ø ə s ə Ø												
115-7							ʔ ɨ l a Ø												
209-7							s Ø Ø Ø												
242-7							ʔ a Ø Ø s Ø												
415-7							Ø Ø Ø a Ø												
450-7							Ø ə Ø Ø Ø												
490-7							Ø ɨ Ø w ɨ												
638-7							s Ø Ø Ø Ø												
645-7							kʼ a l												
75-7							ʔ a Ø w Ø Ø Ø												
160-7							Ø ə Ø ə kʼ												
208-7							ʔ Ø kʼ Ø Ø Ø												
214-7							ʔ a Ø Ø												
218-7							ʔ Ø Ø Ø Ø												
378-7							ʔ a n Ø Ø ə Ø Ø												
379-7							Ø ɨ Ø ə Ø Ø												
409-7							Ø a Ø t ə Ø ɨ												
497-7							Ø ɨ Ø Ø Ø												
598-7							Ø Ø Ø Ø t Ø												
646-7							ʔ a Ø Ø Ø ə Ø												
164-7							Ø ɨ kʼ ɨ												
210-7							Ø Ø Ø ɨ Ø Ø												
215-7							ʔ a Ø Ø Ø Ø ɨ Ø												
256-7							Ø u Ø a												
285-7							Ø Ø Ø a Ø												
332-7							ʔ ɨ Ø Ø Ø Ø Ø												
380-7							ʔ a Ø w Ø												
412-7							s a Ø Ø n Ø												
496-7							Ø u Ø Ø Ø s ə Ø Ø ə Ø												
64-7							Ø a Ø o												
67-7							Ø Ø Ø Ø Ø												
169-7							n ɨ Ø ɨ Ø ɨ Ø o												
251-7							Ø Ø Ø												
294-7							Ø Ø Ø kʼ												
461-7							Ø Ø												
547-7							w Ø Ø a Ø												
597-7							ʔ Ø Ø Ø Ø ə Ø a												
655-7							Ø Ø Ø Ø s Ø Ø												
7-7							ʔ a l Ø a												
158-7							kʼ ə Ø Ø Ø s Ø												
168-7							ʔ Ø Ø a Ø												
296-7							Ø Ø Ø Ø t Ø												
372-7							Ø Ø n Ø Ø Ø												
374-7							Ø ə kʼ Ø o Ø Ø Ø o												
385-7							w Ø Ø ɨ Ø												
411-7							Ø Ø t Ø Ø Ø Ø a s												
500-7							ʔ Ø Ø Ø Ø Ø												
6-7							Ø ɨ Ø Ø a Ø a												
17-7							ʔ ɨ Ø Ø Ø												
123-7							s Ø Ø ɨ Ø												
252-7							Ø ɨ ʔ ə Ø ɨ Ø												
421-7							Ø Ø Ø Ø												
448-7							kʼ ə t a Ø Ø s ə n ə Ø												
449-7							ʔ a Ø Ø Ø Ø												
491-7							Ø Ø Ø ə Ø												
545-7							ʔ Ø Ø Ø Ø Ø												
596-7							n ɨ Ø ɨ												
653-7							Ø ɨ Ø Ø Ø												
8-7							kʼ ə Ø ə t Ø o												
254-7							Ø Ø Ø t												
290-7							ʔ a Ø ə Ø ɨ												
460-7							o Ø Ø Ø t												
489-7							Ø w ɨ Ø Ø u Ø a												
552-7							Ø Ø Ø Ø Ø												
652-7							ʔ Ø Ø Ø Ø Ø Ø												
3-7							Ø Ø Ø ɨ												
61-8								Ø ɨ Ø											
63-8								ʔ a Ø Ø Ø											
107-8								Ø a Ø e l a											
112-8								Ø a b a Ø a											
331-8								Ø Ø Ø w s											
377-8								b Ø Ø Ø Ø a											
381-8								ʔ a Ø Ø											
417-8								Ø u Ø											
451-8								s ɨ Ø b a Ø											
454-8								ʔ a Ø Ø Ø											
484-8								s Ø Ø Ø s Ø											
535-8								ʔ a s Ø Ø											
543-8								s ɨ s Ø											
593-8								ʔ a Ø u s											
640-8								Ø a Ø Ø											
1-8								Ø ɨ b ɨ Ø ɨ Ø											
65-8								Ø u Ø Ø											
163-8								s Ø Ø Ø											
212-8								ʔ Ø Ø											
244-8								ʔ a Ø b Ø Ø											
248-8								Ø u Ø a											
293-8								Ø ɨ Ø ɨ Ø											
373-8								Ø Ø Ø a Ø											
408-8								b ɨ Ø Ø a											
414-8								Ø Ø b a Ø u a											
601-8								ʔ a Ø Ø b											
642-8								Ø Ø Ø a s											
60-8								Ø ɨ Ø ɨ s ɨ Ø											
115-8								Ø l a Ø											
209-8								s Ø Ø Ø Ø											
242-8								ʔ a Ø Ø s Ø											
415-8								Ø Ø Ø a b											
450-8								Ø ɨ Ø											
490-8								ɨ Ø w Ø											
638-8								s Ø Ø Ø e											
645-8								Ø a l											
75-8								ʔ a Ø b Ø Ø											
160-8								Ø ɨ Ø ɨ Ø											
208-8								ʔ Ø Ø Ø w a Ø Ø Ø											
214-8								ʔ a b											
218-8								ʔ Ø Ø Ø Ø Ø											
378-8								ʔ a Ø Ø ɨ Ø											
379-8								Ø a ɨ											
409-8								Ø Ø t Ø Ø Ø											
497-8								Ø ɨ Ø											
598-8								Ø Ø w Ø Ø											
646-8								ʔ a ʔ Ø											
164-8								b a Ø Ø a Ø											
210-8								Ø Ø ʔ w Ø Ø Ø											
215-8								ʔ a Ø Ø b a Ø											
256-8								Ø u Ø a											
285-8								Ø Ø Ø a Ø											
332-8								ʔ Ø Ø Ø Ø											
380-8								ʔ Ø ʔ w Ø											
412-8								s a Ø Ø Ø											
496-8								Ø u Ø s Ø Ø b Ø Ø											
64-8								Ø a Ø Ø											
67-8								Ø Ø Ø											
169-8								b a Ø Ø ɨ Ø ɨ Ø o											
251-8								Ø Ø Ø Ø											
294-8								Ø Ø w Ø Ø											
461-8								Ø Ø											
547-8								w Ø Ø a Ø											
597-8								ʔ Ø Ø Ø Ø ɨ Ø a											
655-8								Ø Ø Ø s Ø Ø											
7-8								ʔ a l Ø a											
158-8								Ø ɨ Ø i s											
168-8								ʔ Ø Ø a Ø											
296-8								Ø a ʔ Ø Ø Ø Ø											
374-8								b ɨ Ø ɨ Ø											
385-8								Ø Ø Ø Ø Ø											
500-8								ʔ Ø Ø Ø Ø											
6-8								Ø ɨ Ø Ø a Ø a											
17-8								ʔ ɨ ʔ Ø Ø											
123-8								s Ø Ø a											
252-8								Ø Ø Ø Ø b Ø											
421-8								b Ø Ø a											
448-8								Ø Ø Ø a Ø s Ø Ø b Ø Ø											
449-8								ʔ a Ø ɨ											
545-8								Ø Ø Ø Ø Ø											
596-8								Ø ɨ Ø ɨ											
653-8								b Ø Ø a Ø											
4-8								Ø Ø Ø Ø Ø Ø											
8-8								Ø ɨ b ɨ Ø ɨ											
254-8								Ø Ø Ø Ø											
290-8								ʔ a Ø ɨ Ø ɨ											
339-8								b a Ø Ø Ø Ø											
460-8								Ø Ø t											
489-8								b w Ø Ø Ø u Ø a											
552-8								Ø i											
652-8								ʔ Ø e Ø a											
3-8								ʔ Ø Ø Ø											
61-9									Ø ə m										
63-9									ʔ Ø Ø e Ø m e										
107-9									g Ø m i m a										
112-9									Ø Ø b ə n a										
331-9									n Ø g w Ø s e										
377-9									b e ə kʼ e a m ɨ										
381-9									ʔ a e e e Ø e										
417-9									Ø u z										
451-9									s ə e e e b Ø Ø e										
454-9									ʔ a e Ø Ø e e										
484-9									s Ø n Ø s Ø e e										
535-9									ʔ a s Ø Ø e e										
543-9									s u e e s Ø e										
593-9									ʔ Ø m e u s										
640-9									m e Ø n										
1-9									Ø ə Ø ə Ø ə										
65-9									Ø u b e e e										
163-9									s ə e e ɨ										
212-9									ʔ Ø n e										
244-9									ʔ a Ø b i e e Ø e										
248-9									m e u m e e Ø										
293-9									Ø ə Ø ə z										
373-9									kʼ e Ø m Ø m										
408-9									b a Ø e Ø Ø										
414-9									Ø Ø b Ø kʼ u e a										
601-9									ʔ i Ø u b e e n										
642-9									e n Ø e Ø s										
60-9									n ə e ə s ə e										
209-9									s Ø e e Ø e										
242-9									ʔ a m Ø s Ø e										
415-9									z Ø Ø a b										
490-9									t ə Ø e w i e										
638-9									s Ø e Ø e e										
645-9									kʼ Ø m										
75-9									ʔ Ø m b Ø Ø e										
160-9									Ø ə Ø ə kʼ e										
208-9									ʔ Ø n kʼ Ø w m a e										
214-9									ʔ a b i										
218-9									ʔ Ø n z Ø Ø e										
378-9									ʔ a n g e ə Ø e										
379-9									z ɨ e b ə b e										
409-9									g e t ə Ø a										
