COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b ə t																
248-3			m w ɨ r a																
293-3			f ə r ə s																
373-3			kʼ ɨ m a r																
408-3			b w ə r a																
414-3			tʼ ə b kʼ u t a																
601-3			ʔ ə r o																
642-3			ʔ ɨ n f a s																
60-3			n ə f ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m u t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a m																
450-3			z ə r																
490-3			t ə p w ə m																
638-3			s ɨ n e																
645-3			kʼ a r																
75-3			ʔ a m b ɨ r																
160-3			tʼ ə r ə kʼ																
208-3			ʔ a n kʼ w ə																
214-3			ʔ a b																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			ʒ ə tʼ ə																
409-3			g e t ə r ə																
497-3			t ə n																
598-3			x w e t																
646-3			ʔ a t ə																
164-3			b ə k ə m																
210-3			ʒ ə x w ə r ə																
215-3			ʔ a t e b ə t																
256-3			t u m a																
285-3			m ɨ t a t																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə x w a																
412-3			s a h ɨ n																
496-3			w ɨ r s ə n b ə t																
64-3			d a p o																
67-3			w ɨ r																
169-3			n ə z ə z ə m																
251-3			f ə ɲː ə ʔ ə																
461-3			tʼ e																
547-3			w ɨ z a t																
597-3			ʔ e m ə n ə																
655-3			m ɨ ʃ t																
7-3			ʔ a n g a																
158-3			kʼ ə m a s																
168-3			ʔ ɨ m a r																
61-4				d ə m															
63-4				ʔ a tʼ ə m															
107-4				g ə m e n a															
112-4				d a b ə r a															
331-4				n ə g o s															
377-4				b u kʼ a r ə															
381-4				ʔ ə t															
417-4				r u z															
451-4				s ə w ʔ															
454-4				ʔ a tʃʼ ɨ r															
484-4				s ə t ə s															
535-4				ʔ a s ɨ r															
543-4				s o s t															
593-4				ʔ a m o s															
640-4				m a															
1-4				d ə b ə ə															
65-4				u tʼ															
163-4				s ɨ tʼ ə															
408-4				b o r a															
414-4				b ə ʔ ə d ə															
601-4				ʔ ə r o															
642-4				n ə f a s															
60-4				n ə f ə s ə															
115-4				ʔ ə r ə m															
450-4				z ə r															
490-4				tʼ ə w ə w ə															
638-4				s ɨ n ə															
645-4				kʼ a r															
75-4				ʔ a m b ɨ r															
160-4				d ə n ə															
378-4				ʔ a n g ə d															
379-4				ʃː ə m tʼ ə															
409-4				g ə t ə r ə															
497-4				t ə n															
598-4				w ɨ n ʔ e t															
646-4				ʔ a t ə															
164-4				b ə k ə															
332-4				ʔ ə g ɨ r															
380-4				ʔ ə h w a															
412-4				s a x ə n															
64-4				d a bː o															
67-4				w ɨ r															
169-4				n ə z ə z ə m															
461-4				ʔ ə d ə															
547-4				w ɨ z ə t															
597-4				ʔ e m ə n ə															
655-4				m ɨ ʃ t															
158-4				kʼ ə m i s															
168-4				ʔ ɨ m a r															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m e r a														
112-5					d a b ə r a														
331-5					ʔ ɨ g w s														
377-5					b ɨ kʼ w ə r ə														
381-5					ʔ a t														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a tʃʼ ɨ r														
484-5					s ɨ d ɨ s t														
535-5					ʔ a sː ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m a														
1-5					d ə bː ə r ə m														
65-5					tʼ u														
163-5					s ə tʃʼ ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m w ɨ r a														
293-5					f ə r ə s														
373-5					kʼ ɨ m ɨ n d e j ə														
408-5					b a w ə r a														
414-5					d ə b w ə kʼ ɨ r ə														
601-5					ʔ ə r o														
642-5					ʔ ɨ n f a s														
60-5					n ə f ə s ə m														
115-5					ʔ ə r a m														
209-5					s ɨ m u t														
242-5					ʔ a m ɨ s t														
415-5					z ɨ r a b														
450-5					z ə r														
490-5					t ə bː w ə m														
638-5					s ɨ n ə														
645-5					kʼ a r														
75-5					ʔ a m b ɨ r														
160-5					tʼ ə r ə kʼ														
208-5					ʔ a n kʼ w ə														
214-5					ʔ a b														
218-5					ʔ ɨ n z ɨ r														
378-5					ʔ a n g ə t														
379-5					ʒ ə tʼ ə														
409-5					g ə tː ə r ə														
497-5					t ə n														
598-5					x w e t														
164-5					b ə kː ə m														
210-5					ʒː ə m x w ə r ə														
215-5					ʔ a t e b ə t														
256-5					t u m a														
285-5					m ɨ d a d														
332-5					ʔ ə g ɨ r														
380-5					ʔ ə x w a														
496-5					w ɨ r s ə b ə t														
64-5					d a bː a														
67-5					w ɨ r														
169-5					n ə z ə z ə m														
251-5					f ə ɲː ə ʔ ə														
294-5					m w ə kʼ														
461-5					ɨ n d e j ə t														
547-5					w ɨ z a t														
597-5					ʔ e m ə n ə														
655-5					m ɨ ʃ t														
7-5					ʔ a r g a														
168-5					ʔ ɨ m a r														
61-6						d ə m													
63-6						ʕ a s m i													
107-6						g ɨ m ə l													
112-6						g a n b ə n ə													
331-6						n ə g u s													
377-6						b ə kʼ l i													
381-6						ħ ə t													
417-6						r u z													
451-6						s ə b ə t													
454-6						ħ ə tʼː ɨ n													
484-6						s ɨ ʔ ɨ s													
535-6						ʔ a sː ɨ r													
543-6						s ə l ə s													
593-6						ʕ a n u s													
640-6						m ə n													
1-6						d ə mː ə r ə													
163-6						s ə t ə													
212-6						ʔ ɨ n													
244-6						ħ ə r b ə t													
248-6						m ɨ l u ʔ													
293-6						f ə r ə s													
373-6						kʼ ə m ə l													
408-6						b ə r i ts ə n b ə t													
601-6						ʔ ɨ r h o b													
642-6						n ə f a s													
60-6						n ə f ə ħ ə													
115-6						ʕ a n a n b													
242-6						ʕ a m ɨ s t													
415-6						z ɨ n a b													
450-6						z ə r													
490-6						tʼ ə b a													
638-6						s ə m ɨ r ai̯													
645-6						kʼ ə l													
75-6						ʕ a n b ɨ													
208-6						ʔ kʼ w ħ													
214-6						ħ ə b													
218-6						j ɨ ʔ ə z ə n													
409-6						ʕ a t ə r													
497-6						t ə r													
598-6						k ɨ l tː u													
646-6						ʕ a n t ə													
215-6						ʔ ɨ ɨ n t ə b e t													
256-6						t o m													
294-6						m u kʼ													
655-6						m ɨ sː t													
158-6						kʼ ə m ɨ s													
61-7							d ə m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m e n a												
112-7							d a b ə r a												
331-7							n ɨ g w s												
377-7							b ɨ kʼ w ə r ə												
381-7							ʔ a t												
417-7							r u z												
451-7							s ə b a t												
454-7							ʔ a tʃʼ ɨ r												
484-7							s ɨ d ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m u s												
640-7							m a												
1-7							d ə pː ə r ə m												
65-7							k w ɨ t												
163-7							s ə tʃʼ ə												
212-7							ʔ e n												
244-7							ʔ a r b ə t												
248-7							m w ɨ r a												
293-7							f ə r ə z												
373-7							kʼ ɨ m a r												
408-7							b o r a												
414-7							d ɨ b a												
601-7							ʔ ə r o												
642-7							ʔ ɨ n f a s												
60-7							n ə f ə s ə m												
115-7							ʔ ə r a m												
209-7							s ɨ m u t												
242-7							ʔ a m ɨ s t												
415-7							z ɨ r a b												
450-7							z ə r												
490-7							t ə pː w ə m												
638-7							s ɨ n ə												
645-7							kʼ a r												
75-7							ʔ a m b ɨ r												
160-7							tʼ ə r ə kʼ												
208-7							ʔ a n kʼ w ə												
214-7							ʔ a b												
218-7							ʔ ɨ n z ɨ r												
378-7							ʔ a n g ə t												
379-7							ʒ ə tʼ ə												
409-7							g e t ə r ə												
497-7							t ə n												
598-7							x w e t												
646-7							ʔ a t ə												
164-7							b ə kː ə m												
210-7							ʒ ə x w ə r ə												
215-7							ʔ a t e b ə t												
256-7							t u m a												
285-7							m ɨ t a t												
332-7							ʔ ə g ɨ r												
380-7							ʔ ə h w a												
412-7							s a x ɨ n												
496-7							w ɨ r s ə n b ə t												
64-7							d a pː a												
67-7							w ɨ r												
169-7							n ə z ə z ə m												
251-7							f e kʼ												
294-7							m w ə kʼ												
461-7							tʼ ə												
547-7							w ɨ z a t												
597-7							ʔ e m ə n ə												
655-7							m ɨ ʃː t												
7-7							ʔ a n g a												
158-7							kʼ ə m ɨ s												
168-7							ʔ ɨ m a r												
61-8								d ə m											
63-8								ʔ a tʼ ɨ m											
107-8								g a m e r a											
112-8								d a b ə r a											
331-8								n ɨ g w ɨ s											
377-8								b ə kʼ ɨ r											
381-8								ʔ a t											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ d ɨ s t											
535-8								ʔ a s ɨ r											
543-8								ʃ e ʃ t											
593-8								ʔ a m w ɨ s											
640-8								m a											
1-8								d ə p ə r ə m											
65-8								tʼ u											
163-8								ʃ e m ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m u r a											
293-8								f ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b a w ə r a											
414-8								d ə b a kʼ u r a											
601-8								ʔ ə r o											
642-8								n ə f a s											
60-8								n ə kʼ ə s a											
115-8								ʔ ə r a m											
209-8								s ɨ m w ɨ t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								t ə p w ə m											
638-8								s ɨ n ə											
645-8								kʼ a r											
75-8								ʔ a m b ɨ r											
160-8								tʼ ə r ə kʼ											
208-8								ʔ a n kʼ w ə											
214-8								ʔ a b											
218-8								ʔ ɨ n z ɨ r											
378-8								ʔ a n g ə t											
379-8								ʒ ə tʼ ə											
409-8								g e t ə r ə											
497-8								t ə n											
598-8								x w e t											
646-8								ʔ a t ə											
164-8								b ə k ə m											
210-8								ʒ ə h w ə r ə											
215-8								ʔ a t e b ə t											
256-8								n u											
285-8								m ɨ d a d											
332-8								ʔ ə g ɨ r											
380-8								ʔ ə h w a											
412-8								s a x ɨ n											
496-8								w ɨ r s ə n b ə t											
64-8								d a p a											
67-8								w ɨ r											
169-8								n ə z ə z ə m											
251-8								f e kʼ											
294-8								m ə ʔ											
461-8								tʼ ə											
547-8								w ɨ z a t											
597-8								ʔ e m ə n ə											
655-8								m ɨ ʃ t											
7-8								ʔ a n g a											
158-8								kʼ ə m ɨ s											
168-8								ʔ ɨ m a r											
61-9									d ə m										
63-9									ʔ a tʼ ɨ m										
107-9									g ɨ m ə r										
112-9									d a b ə r a										
331-9									n ɨ g w s										
377-9									b ɨ kʼ u r ə										
381-9									ʔ a t										
417-9									r u z										
451-9									s ə b a t										
454-9									ʔ a tʃ ɨ r										
484-9									s ɨ d ɨ s t										
535-9									ʔ a s ɨ r										
543-9									s ə w ə s t										
593-9									ʔ a m u s										
640-9									m a										
1-9									d ə pː ə r ə m										
65-9									tʃʼ ɨ b										
163-9									s ə n tʃ ə										
212-9									ʔ ai̯ n										
244-9									ʔ a r b ə t										
248-9									m u r a										
293-9									f ə r ə s										
373-9									kʼ ɨ m a r										
408-9									b w ə r a										
414-9									d ɨ b ə										
601-9									ʔ ə r ə w ə										
642-9									ʔ ɨ n f a s										
60-9									n ə f ə s ə										
209-9									s ə n ə r										
242-9									ʔ a m ɨ s t										
415-9									z ə r a b										
490-9									t ə p w ə m										
638-9									s ɨ n ə										
645-9									kʼ a r										
75-9									ʔ a m b ɨ r										
160-9									d ə r ə kʼ ə										
208-9									ʔ a n kʼ w ə										
214-9									ʔ a b a										
218-9									ʔ ɨ n z ɨ r										
378-9									ʔ a n g ə t										
379-9									ʒ ə tʼ ə										
409-9									g ai̯ t ə r ə										
497-9									t ə n										
598-9									x w ai̯ t										
646-9									ʔ a t ə										
164-9									b ə k ə										
210-9									ʒ ə x w ə r ə										
215-9									ʔ a t ai̯ b ə t										
256-9									n ə w a										
285-9									m ə t a d										
332-9									ʔ ə g ɨ r										
380-9									ʔ ə x w a										
412-9									s a x ɨ n										
496-9									s ə n b ə t										
64-9									d a b o ʔ ə										
67-9									w ɨ r										
169-9									b ɨ r ə z ə z ə										
251-9									f ə ɲ ə ʔ ə										
294-9									m w ə kʼ										
461-9									tʼ ə										
547-9									w ɨ z a t										
597-9									ʔ e m ə n ə										
655-9									m ɨ ʃ t										
7-9									ʔ a r g a										
168-9									ʔ ɨ m a r										
61-10										tʼ ɨ dʒ a									
63-10										ʔ a tʼ iː n m ɨ t									
107-10										g ə l a									
112-10										d aː m ə kʼ a r									
331-10										n i g u s									
377-10										b u kʼ l u									
381-10										u m ʔ a									
417-10										r u z									
451-10										s ə b a t									
454-10										ħ a r aː ʃ									
484-10										s ə d i s t i									
535-10										ʔ a sː i r									
543-10										ʃ eː ʃ t									
593-10										ħ aː m a ʃ									
640-10										m a									
1-10										d ə b ə l ə									
65-10										tʼ u t i									
163-10										s ə tʃʼ a									
212-10										ʔ i n									
244-10										ħ aː r b ə ħ ai̯									
248-10										m u l ə kʼ a									
293-10										f ə r a z									
373-10										kʼ u m a l									
408-10										b a ʔ a r a									
414-10										d u b a									
601-10										r ə b u ɲː									
115-10										l a m									
209-10										m ə s u t i									
242-10										ħ aː m ʃ									
415-10										z l ə m ə									
490-10										tʼ ə l b i a									
160-10										d ə r ə kʼ									
208-10										ʔ a t ə kʼ ə kʼ u									
218-10										ʔ i z ə n									
378-10										ʔ d ə g u									
379-10										ʒ aː b ə									
497-10										u ə r									
598-10										k i w ʔ ə									
646-10										ʔ a t ə									
164-10										b ə kʼ ə s a									
210-10										d ə h ə n									
256-10										u u m ʔ a									
285-10										m i tʼ a a d									
380-10										ʔ a k u									
412-10										s aː n									
64-10										d aː p aː									
169-10										b ə r s aː s aː ʃ ə s a									
461-10										eː tʼ									
547-10										w i z ə t i									
61-11											d ə m								
63-11											ʔ a t ɨ m								
107-11											g i m ə r								
112-11											d a b ə r a								
331-11											n ə g w s								
377-11											b ɨ ʔ ə r ə								
381-11											ʔ a t								
417-11											r u z								
451-11											s ə b a t								
454-11											ʔ a tʃ ɨ r								
484-11											s ɨ d ɨ s t								
535-11											ʔ a s ɨ r								
543-11											s o s t								
593-11											ʔ a m u s								
640-11											m w a								
1-11											d ə p ə r ə								
65-11											tʼ u								
163-11											s ə tʃ ə								
212-11											ʔ e n								
244-11											ʔ a r b ə t								
248-11											m w ɨ r a								
293-11											f ə r ə z								
373-11											ʔ ɨ m a r								
408-11											b ə r a								
414-11											d ə b a kʼ ɨ r ə								
601-11											ʔ ə r ə								
642-11											ʔ ɨ n f a s								
60-11											n ə f ə s ə								
115-11											ʔ ə r a m								
209-11											ʔ ə n ə r								
242-11											ʔ a m ɨ s t								
450-11											z ə r								
490-11											tʼ ə p w ə m								
638-11											s ɨ n ʔ ə								
645-11											kʼ a r								
75-11											ʔ a m b ɨ r								
160-11											d ə r ə ʔ								
208-11											ʔ a n kʼ w ə								
214-11											ʔ a b								
218-11											ʔ ɨ n z ɨ r								
378-11											ʔ a n g ə t								
379-11											ʒ ə tʼ ə								
409-11											g ə t ə r ə								
497-11											d ə n								
598-11											x ɨ r ʔ ə t								
646-11											ʔ a t ə								
164-11											b ə kʼ ə								
210-11											ʒ ə x w ə r ə								
215-11											ʔ a t e b ə t								
256-11											n o w a								
285-11											m ɨ d a d								
332-11											ʔ ə g ɨ r								
412-11											s a x ɨ n								
496-11											w ə r s ə n b ə t								
64-11											d a b o ʔ ə								
67-11											w ɨ r								
169-11											n ə z ə z ə m								
251-11											f ə ɲ ə ʔ ə								
294-11											m w ə kʼ								
461-11											tʼ ə								
547-11											w ɨ z a t								
597-11											m e ɲ ə								
655-11											m ɨ ʃ t								
7-11											ʔ a r g a								
168-11											ʔ ɨ m a r								
61-12												d ə m							
63-12												ʔ a tʼ ɨ m							
107-12												g ɨ m ə l							
112-12												d a b ə n a							
331-12												n ɨ g u s							
377-12												b ɨ kʼ u r ə							
381-12												ʔ a t							
417-12												r u z							
451-12												s ə b ə t							
454-12												ʔ a tʃʼ ɨ r							
484-12												s ɨ dː ɨ s t							
535-12												ʔ a ʃ ɨ r ə							
543-12												s o s t							
593-12												ʔ a m u s							
640-12												m a							
1-12												dː ə b ə l ə							
65-12												tʼ u							
163-12												s ə tʃʼ ə							
212-12												j i m ɨ n							
244-12												ʔ a r b ə t							
248-12												m u r a							
293-12												f ə r ə z							
373-12												kʼ ɨ m a r							
408-12												b o r a							
414-12												d u bː a							
601-12												j ə r o							
642-12												n ɨ f a s							
60-12												n ə f ə s ə m							
115-12												l a m							
209-12												s ə m ə t							
242-12												ʔ a m ɨ s t							
415-12												z ɨ n a b							
450-12												z ə r							
490-12												tʼ ə bː a							
638-12												s ɨ n ə							
645-12												kʼ a r							
75-12												ʔ a m b ɨ r							
160-12												d ə r ə a							
208-12												ʔ a n kʼ w ə							
214-12												ʔ a b							
218-12												ʔ ɨ n z ɨ n							
378-12												ʔ a n g ə t							
379-12												ʒː ə tʼ ə							
497-12												t ə n							
598-12												k ə t							
164-12												b ə k ə m							
210-12												ʒː ə k w ə r ə							
215-12												ʔ a tʼ e b ə t							
256-12												nː ə m							
285-12												m ɨ d a d							
332-12												ʔ ə g ɨ r							
380-12												j ə k w a							
412-12												s a k ɨ n							
496-12												w u r s ə n b ə t							
64-12												d a bː o							
67-12												w ɨ r							
169-12												n ə z ə z ə m							
251-12												f ə kʼ							
294-12												m u kʼ							
461-12												tʼ ə							
547-12												w ɨ z a t							
597-12												m o ɲː ə							
655-12												m ɨ ʃ t							
7-12												ʔ a n g a							
168-12												j i m a r							
61-13													d ə m						
63-13													ʔ a tʼ ɨ m						
107-13													g ɨ m ə l						
112-13													d a b ə n a						
331-13													n ə g w s						
377-13													b ɨ kʼ u r ə						
381-13													ʔ a t						
417-13													r u z						
451-13													s ə b a t						
454-13													ʔ a tʃʼ ɨ r						
484-13													s ɨ d ɨ s t						
535-13													ʔ a sː ɨ r						
543-13													s o s t						
593-13													ʔ a m u s						
640-13													m a						
1-13													d ə bː ə r ə						
65-13													tʼ u						
163-13													s ə tʃʼ ə						
212-13													ʔ e n						
244-13													ʔ a n b ə t						
248-13													m u r a						
293-13													f ə r a s						
373-13													kʼ ɨ m a r						
408-13													b o r a						
414-13													d ɨ b a						
601-13													ʔ ə r o						
642-13													ʔ ɨ n f a s						
60-13													n ə f ə s ə						
115-13													ʔ ə r a m						
209-13													s ɨ m u t						
242-13													ʔ a m ɨ s t						
415-13													z ɨ n a b						
450-13													z ə r						
490-13													tʼ ə bː w ə						
638-13													s ɨ n ə						
645-13													kʼ a r						
75-13													ʔ a m b ɨ r						
160-13													d ə r ə kʼ						
208-13													ʔ a n kʼ w ə						
214-13													ʔ a b						
218-13													ʔ ɨ z ɨ n						
378-13													ʔ a n g ə t						
379-13													ʒː ə tʼ ə						
409-13													ʔ a t ə r						
497-13													t ə n						
598-13													g w e t						
646-13													ʔ a t ə						
164-13													b ə kː ə						
210-13													ʒː ə x w ə r ə						
215-13													ʔ a t e b ə t						
256-13													t u m a						
285-13													m ɨ d a d						
332-13													ʔ ə g ɨ r						
380-13													ʔ ə g w a						
496-13													w ɨ r n s ə n b ə t						
67-13													w ɨ r						
169-13													n ə z ə z ə						
251-13													f ə ɲː ə ʔ ə						
294-13													m w ə kʼ						
461-13													tʼ ə						
547-13													w ɨ z a t						
597-13													ʔ e m ə n a						
655-13													m ɨ ʃː t						
7-13													ʔ a n g a						
158-13													kʼ ə m ɨ r s						
168-13													ʔ ɨ m a r						
61-14														d ə m					
63-14														ʔ a tʼ ɨ m					
107-14														g ɨ m ə l					
112-14														d a m ə n a					
331-14														n ɨ g w ɨ s					
377-14														b ɨ kʼ u r ə					
381-14														ʔ a t					
417-14														r u z					
451-14														s ə b a t					
454-14														ʔ a tʃ ɨ n					
484-14														s ɨ d ɨ s t					
535-14														ʔ a sː ɨ n					
543-14														s o s t					
593-14														ʔ a m u s					
640-14														m a					
1-14														d ə bː ə r ə m					
65-14														tʼ u					
163-14														s ə tʃʼ ə					
212-14														ʔ e n					
244-14														ʔ a n b ə t					
248-14														m u r a					
293-14														f ə r ə rː ə s					
373-14														ʔ ɨ m a n					
408-14														b o r a					
414-14														d u bː a					
601-14														ʔ ə n o					
642-14														ʔ ɨ n f a s					
60-14														n ə f ə s ə m					
115-14														ʔ ə r a m					
209-14														s ə m w a					
242-14														ʔ a m ɨ s t					
415-14														z ɨ n a b					
450-14														z ə r					
490-14														t ə bː w ə m					
638-14														s ɨ n ə					
645-14														kʼ a r					
75-14														ʔ a m ɨ l					
160-14														d ə r ə kʼ					
208-14														ʔ a n g w ə					
214-14														ʔ a b					
218-14														ʔ ɨ n z ɨ n					
378-14														ʔ a n g ə t					
379-14														ʒ ə tʼ ə					
409-14														ʔ a t ə r ə					
497-14														t ə n					
598-14														x w e t					
646-14														ʔ a x ə					
164-14														b ə kː w ə m					
210-14														ʒ ə x w ə r ə m					
215-14														ʔ a t e b ə t					
256-14														ɨ nː ə w					
285-14														m ɨ d a d					
332-14														ʔ ə g ɨ n					
380-14														ʔ ə x w a					
412-14														s a x ɨ n					
496-14														w ɨ n s ə n b ə a					
64-14														d a bː a					
169-14														n ə z ə z ə m					
251-14														b ə m kʼ					
294-14														m w ə kʼ					
461-14														t e					
547-14														w ɨ z a t					
597-14														m e ɲː ə					
655-14														m ɨ ʃː t					
7-14														ʔ a n g a					
158-14														kʼ ə m ə m s					
168-14														ʔ ɨ m a n					
61-15															d ə m				
63-15															ʔ a tʼ e m				
107-15															g ə l a				
112-15															d a b ə n a				
331-15															n ɨ g u s				
377-15															b ə kʼ l o				
381-15															ʔ a t				
417-15															r u z				
451-15															s ə b a t				
454-15															ʔ a tʃ ɨ n				
484-15															s ɨ d ɨ s t				
535-15															ʔ a s ɨ l				
543-15															ʃ eː ʃ t				
593-15															ʔ a m u s				
640-15															m a				
1-15															d ə b ə l a				
65-15															u tʼ				
163-15															s o tʃʼ ə				
212-15															ʔ ɨ n				
244-15															ʔ a r b ə tː				
248-15															m u l a				
293-15															f ə r ə s				
373-15															kʼ i m a l				
414-15															d ə b ə				
601-15															ʔ ɨ l o				
642-15															n ɨ f a s				
60-15															n ə f ə s ə				
115-15															l a m				
209-15															s ə m ɨ n				
242-15															ʔ a g s				
415-15															z ɨ n a b				
450-15															z ə l				
490-15															tʼ o b e				
638-15															ʃ ɨ r e				
645-15															kʼ a l				
75-15															ʔ a m b ɨ l				
160-15															d ə r ə kʼ ə				
214-15															ʔ a b				
218-15															ʔ ɨ z ɨ n				
378-15															ʔ a n b u tʼ				
379-15															n ʒ ə tʼ ə				
409-15															ʔ a t ə r				
497-15															t ə n				
646-15															ʔ a t ə				
164-15															b ə k ə				
210-15															d ə k ə n o				
215-15															ʔ ɨ n tʼ a b i t				
256-15															t u m a				
285-15															m ɨ tʼ a d				
332-15															ʔ ə g ɨ l				
380-15															ʔ a h u n				
412-15															s ə ʔ ɨ n				
496-15															s ə n b ə t				
67-15															w ɨ l				
169-15															r ə z ə z ə				
251-15															f eː kʼ				
294-15															m u kʼ				
461-15															tʼ ə				
547-15															w ə z				
655-15															m ɨ ʃ t				
158-15															kʼ ə bː a				
168-15															ʔ i m a l				
61-16																d ə m			
63-16																ʔ a s m			
107-16																g ə m ə l			
112-16																d ə m ə n a			
331-16																n ɨ g u s			
377-16																b ə kʼ l i			
381-16																a t			
417-16																r u z			
451-16																s ə b a t			
454-16																+ n ɨ ʔ ɨ ʃ tʼ i r			
484-16																s ɨ d ɨ s ɨ d			
535-16																ħ ə s ɨ r			
543-16																s o s t			
593-16																ħ a mː u s			
640-16																m a			
65-16																s ə ħ b			
163-16																s ə tʼ ə			
212-16																h ɨ n			
244-16																h ɨ r a b ə t			
248-16																m ə l ɨ ʔ a			
293-16																f ə r ə s			
