COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
450-4				z ə ʔ ə															
490-4				tʼ o pː ə															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m e r a														
112-5					d a b ə r a														
331-5					n ɨ g w ɨ s														
377-5					b u kʼ w ə r ə														
381-5					ʔ a tː														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a tʃʼ ɨ r														
484-5					s ɨ d ɨ s t														
535-5					ʔ a s ɨ														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m w a n														
1-5					d ə bː ə r ə m														
65-5					tʼ u w														
163-5					s ə tʃʼ ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m u r a														
293-5					f ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b o r a														
414-5					d ɨ b a kʼ u lː a														
601-5					ʔ ə r ə w														
642-5					n ə f a s														
60-5					n a fː ə s ə m														
115-5					ʔ ə r a m														
209-5					ʃ ɨ m u t														
242-5					ʔ a m ɨ s t														
415-5					z ɨ r a b														
450-5					z ə r														
490-5					tʼ ə bː w ə m														
61-6						d ə m													
63-6						ʔ a s m													
107-6						g ə m ə l													
112-6						d ə mː ə n a													
331-6						n ɨ g u s													
377-6						b ə kʼ l o													
381-6						ʔ ə ħ ə d u													
417-6						r u z													
451-6						s ə b ʕ													
454-6						ħ ɨ s ə s													
484-6						s ɨ dz													
535-6						ʕ ə sʼ r u													
543-6						sʼ ə l ə s													
593-6						ħ ə m u s													
640-6						m ə nː u													
1-6						d ə mː ə r ə													
163-6						s ə t j ə													
212-6						ʕ ai̯ n													
244-6						ʕ ə r b a ʔ													
248-6						m ə l ʔ ə													
293-6						f ə r ə s													
373-6						kʼ w ɨ m a l													
408-6						b ɨ ʕ ɨ r													
601-6						r ə b u ʕ													
642-6						n ə f a s													
60-6						n ə f ħ ə													
115-6						l a h m													
242-6						ħ ə m s													
415-6						z ɨ n a m													
450-6						z ə r ʔ													
490-6						tʼ ə b ə w ə													
61-7							d ə m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m e r a												
112-7							d a b ə r a												
331-7							n ɨ g w ɨ s												
377-7							b ɨ kʼ u r ə												
381-7							ʔ a t												
417-7							r u z												
451-7							s ə β a t												
454-7							ʔ a tʃʼ ɨ r												
484-7							s ɨ dː ɨ s t												
535-7							ʔ a sː ɨ r												
543-7							s o s t												
593-7							ʔ a m w ɨ s												
640-7							m w a n												
1-7							d ə pː ə r ə m												
65-7							tʼ u												
163-7							s ɨ tʼ ə												
212-7							ʔ e n												
244-7							ʔ a r β ə t												
248-7							m w ɨ r a												
293-7							f ə r ə z												
373-7							kʼ ɨ m a r												
408-7							b o r a												
414-7							d ɨ b a kʼ u lː a												
601-7							ʔ ə r o												
642-7							n ɨ f a s												
60-7							n ə f ə s ə m												
115-7							ʔ ə r a m												
209-7							s ɨ m w ɨ t												
242-7							ʔ a mː ɨ s t												
415-7							z ɨ r a b												
450-7							z ə r												
490-7							tʼ ə pː w ə m												
61-8								d ə m											
63-8								ʔ a tʼ ɨ m											
107-8								g a m e r a											
112-8								d a b ə r a											
331-8								n ɨ g w s											
377-8								b ɨ kʼ u r ə											
381-8								ʔ a t											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ dː ɨ s t											
535-8								ʔ a s ɨ r											
543-8								s o s t											
593-8								ʔ a m u s											
640-8								m w a n											
1-8								d ə p ə r ə m											
65-8								tʼ u											
163-8								s ə tʃʼ ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m u r a											
293-8								f ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b o r a											
414-8								d ɨ w a kʼ u l a											
601-8								ʔ ə r o											
642-8								ʔ ɨ n f a s											
60-8								n ə f ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ m u t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								t ə p w ə m											
61-9									d ə m										
63-9									ʔ a t ɨ m										
107-9									g a m e r a										
112-9									d a m ə r a										
331-9									n ɨ g w s										
377-9									b u kʼ u r a										
381-9									ʔ a t										
417-9									r u z										
451-9									s ə b a t										
454-9									ʔ a tʃʼ ɨ r										
484-9									s ɨ d ɨ s t										
535-9									ʔ a s ɨ r										
543-9									s o ʔ o s t										
593-9									ʔ a m u s										
640-9									m w a n										
1-9									d a pː ə r ə										
65-9									tʼ u										
163-9									s ə tʃʼ ə										
212-9									ʔ ai̯ n										
244-9									ʔ a r b ʔ a t										
248-9									m u r ʔ a										
293-9									f ə r ə z										
373-9									kʼ ɨ m a r										
408-9									b a w r a										
414-9									tʼ ə b kʼ u l a										
601-9									ʔ ə r o										
642-9									n ɨ f a s										
60-9									n ə f ə s ə										
209-9									s u w ɨ r										
242-9									ʔ a m ʔ ɨ s t										
415-9									z ɨ r a m										
490-9									tʼ ə p w ə										
61-10										d ə m									
63-10										ʔ aː tʼ									
107-10										g aː m ə l a									
112-10										d aː n a									
331-10										n ə g aː ʃ i									
377-10										b ə kʼ ə l									
381-10										ʔ a ħ a n d									
417-10										r uː z									
451-10										s aː tː i									
454-10										ħ a tʃʼ i r									
484-10										s i dː i s t aː ɲ									
535-10										ʔ a sː i r									
543-10										ʃ i ʔ i ʃ t i									
593-10										x a m i s									
640-10										m aː n									
1-10										d ə b ə l a									
65-10										tʼ oː t									
163-10										s ə tʃ a									
212-10										ʔ i n									
244-10										ħ a r a t									
248-10										m u lː u ʔ									
293-10										f ə r ə z									
373-10										kʼ u m aːi̯									
408-10										b a ʔ a r a									
414-10										d u bː a									
601-10										ʔ a r b a ʔ a									
115-10										l aː m									
209-10										s uː t									
242-10										ħ a mː i s t i									
415-10										z ɨ n aː b									
490-10										tʼ ə b a									
61-11											d ə m								
63-11											ʔ a tʼ ɨ m								
107-11											g a m e r a								
112-11											d a m ə r a								
331-11											n u g w s								
377-11											b u kʼ u r ə								
381-11											ʔ a t								
417-11											r u z								
451-11											s aː t								
454-11											ʔ e ʔ i r								
484-11											s ɨ dː ɨ s t								
535-11											ʔ a s ɨ r								
543-11											s o ʔ o s t								
593-11											ʔ a m u s								
640-11											m a n								
1-11											d a pː ə r ə								
65-11											tʼ u								
163-11											s ə tʃʼ ə								
212-11											ʔ e r								
244-11											ʔ ə r b ʔ a t								
248-11											m u r ʔ a								
293-11											f ə r ə z								
373-11											ʔ ɨ m a r								
408-11											b a w ə r a								
414-11											tʼ ə b a kʼ u l a								
601-11											ʔ ə r o								
642-11											n ə f a s								
60-11											n ə f ə s ə								
115-11											ʔ ə r a m								
209-11											s uː n t								
242-11											ʔ a mː ɨ s t								
450-11											z ə r								
490-11											tʼ ə p w ə								
61-12												d ə m							
63-12												ʔ a tʼ ɨ m							
107-12												g i m ə l							
112-12												d a m ə n a							
331-12												n ɨ g u s							
377-12												b ɨ tʃʼ ɨ l							
381-12												ʔ a tː							
417-12												r u z							
451-12												s ə b a t							
454-12												ʔ a tʃʼ ɨ r							
484-12												s ɨ d ɨ s t							
535-12												ʔ a s ɨ r							
543-12												s o s t							
593-12												x a m u s							
640-12												m a							
1-12												d ə bː ə l ə m							
65-12												tʼ ɨ b u jː ə							
163-12												s ə tʃʼ ə							
212-12												ʔ i n							
244-12												ʔ a r a t							
248-12												m u l a							
293-12												f ə r ə z							
373-12												kʼ ɨ m a l							
408-12												b o r a							
414-12												d ə b a kʼ u lː a							
601-12												x ə r o b							
642-12												n ə f a s							
60-12												n ə fː ə s o							
115-12												ʔ ə l a m							
209-12												s ə mː ɨ n t							
242-12												ʔ a mː ɨ s t							
415-12												z ɨ n a b							
450-12												z ə r							
490-12												tʼ o bː ə m							
61-13													d ə m						
63-13													ʔ a tʼ ɨ m						
107-13													g a m e l a						
112-13													d a b ə n a						
331-13													n ɨ g w s						
377-13													b w ə kʼ ɨ l a						
381-13													ʔ a tː						
417-13													r u z						
451-13													s e b ə t						
454-13													ʔ a tʃʼ ɨ r						
484-13													s ɨ dː ɨ s t						
535-13													ʔ a s ɨ r						
543-13													s o s t						
593-13													ʔ a m u s						
640-13													m w a						
1-13													d ə bː ə r ə m						
65-13													tʼ u b						
163-13													s ə tʃʼ ə						
212-13													ʔ e n						
244-13													ʔ a r b ə tː						
248-13													m u l a						
293-13													f ə r ə z						
373-13													kʼ ɨ m a l						
408-13													b o r a						
414-13													d ə b a kʼ u l a						
601-13													ʔ ə r o b						
642-13													n ɨ f a s						
60-13													n ə fː ə s ə						
115-13													ʔ ə r a m						
209-13													s ɨ mː u t						
242-13													ʔ a mː ɨ s t						
415-13													z ɨ n a b						
450-13													z ə r						
490-13													tʼ o bː ə						
61-14														d ə m					
63-14														ʔ a tʼ ɨ m					
107-14														g a m e l a					
112-14														d a b ə n a					
331-14														n ɨ g w s					
377-14														b u ʔ u r ə					
381-14														ʔ a tː					
417-14														r u z					
451-14														s ə b a t					
454-14														ʔ a tʃʼ ɨ r					
484-14														s ɨ dː ɨ s t					
535-14														ʔ a sː ɨ r					
543-14														s o s t					
593-14														ʔ a m u s					
640-14														m a					
1-14														d ə bː ə r ə m					
65-14														tʼ ɨ w ə jː ə					
163-14														s ə tʃʼ ə m					
212-14														ʔ e n					
244-14														ʔ a r b ə t					
248-14														m w əi̯					
293-14														f ə r ə z					
373-14														kʼ ɨ m e					
408-14														b o r a					
414-14														d ɨ w a ʔ u lː a					
601-14														ʔ ə r o b					
642-14														ʔ ɨ n f a s					
60-14														n ə fː ə s ə m					
115-14														ʔ ə nː a m					
209-14														s ɨ mː u t					
242-14														ʔ a mː ɨ s t					
415-14														z ɨ n a b					
450-14														z ə r					
490-14														tʼ ə bː w ə m					
61-15															d ə m				
63-15															h a tʼ ɨ m				
107-15															g aː m eː l a				
112-15															d ə b ə n a				
331-15															n ɨ g u s				
377-15															b o kʼ l o				
381-15															ʔ aː d				
417-15															r u z				
451-15															s a ʔ a b a t				
454-15															ʔ a n tʃʼ ɨ r				
484-15															s ɨ dː ɨ s t				
535-15															ʔ a sː ɨ r				
543-15															ʃ e ʃ t				
593-15															x a m u s				
640-15															m aː n i				
1-15															d ə b ə l ə				
65-15															tʼ u b				
163-15															s ə tʃ e				
212-15															ʔ iː n				
244-15															ʔ a r a t				
248-15															m u lː a				
293-15															f ə r ə z				
373-15															kʼ u m a l				
414-15															d ə b a kʼ u lː ə				
601-15															h a r b e				
642-15															n ɨ f a s				
60-15															n ə f ə s ə				
115-15															l a m				
209-15															s ə m u t				
242-15															ʔ a mː ɨ s t				
415-15															z ɨ l ə m				
450-15															z ə r				
490-15															t o b e				
61-16																d ə m			
63-16																ʔ a tʼ ɨ m			
107-16																g e m ə l			
112-16																d ə b n a			
331-16																n ə g u s			
377-16																b ə kʼ ə l u			
381-16																h a tː e			
417-16																r u z			
451-16																s ə b u ʔ ə			
454-16																ħ a tʃʼ a r			
484-16																s ɨ ʔ ɨ s			
535-16																ʔ a s ɨ r			
543-16																s ə l ə s			
593-16																k ə m i ʃ			
640-16																m ə n			
65-16																tʼ ɨ b			
163-16																s ə t ə			
212-16																ʔ ɨ n			
244-16																ʔ a r b ə ʕ ə			
248-16																m ɨ l u ʔ			
293-16																f ə r ə s			
373-16																kʼ ə m ə l			
408-16																b ə ʕ r ai̯			
414-16																d ɨ bː a			
601-16																ʔ ɨ rː o b ɨ ʔ			
642-16																n ɨ f a s			
209-16																s ə m ə n			
242-16																h a m ɨ s			
415-16																z ɨ l a m			
450-16																z ə r ɨ ʔ			
61-17																	d ə m		
63-17																	ʕ a s m i		
107-17																	g ɨ m ə l		
112-17																	d ə b ə n a		
331-17																	n ɨ g u s		
377-17																	b ə q l i		
381-17																	ħ a d ə		
417-17																	r u z		
451-17																	ʃ ə w ʕ a t ə		
454-17																	ħ a sː i r		
484-17																	ʃ ɨ dː u ʃ t ə		
535-17																	ʕ a s ə r t ə		
543-17																	s ə l ə s t ə		
593-17																	ħ a mː u s		
640-17																	m ə n		
1-17																	d ə mː i r u		
65-17																	tʼ u b		
163-17																	s ə t ə j ə		
212-17																	ʕ ai̯ n i		
244-17																	ʔ a r b a ʕ t ə		
248-17																	m ɨ l u ʔ		
293-17																	f ə r ə s		
373-17																	q u m a l		
408-17																	b ɨ ʕ ɨ r ai̯		
414-17																	d u bː a		
601-17																	r ə b u ʕ		
642-17																	n ɨ f a s		
60-17																	n ə f ə s ə		
115-17																	l a m		
209-17																	ʃ ɘ m o n t ə		
415-17																	z ɨ n a b		
450-17																	z ə r ʔ i		
61-18																		d ə m	
63-18																		ʔ a tʼ ɨ m	
107-18																		g aː m eː l a	
112-18																		d a b ə n a	
331-18																		n ɨ g u s	
377-18																		b o kʼ l o	
381-18																		ʔ a d	
417-18																		r u z	
451-18																		s a b t	
454-18																		ʔ a n tʃʼ ɨ r	
484-18																		s ɨ dː ɨ s t	
535-18																		ʔ a sː ɨ r	
543-18																		ʃ e ʃ t	
593-18																		x a m u s	
640-18																		m a	
1-18																		d ə b ə l ə	
65-18																		tʼ u b	
163-18																		s ə tʃ e	
212-18																		ʔ i n	
244-18																		ʔ a r a t	
248-18																		m u lː i	
293-18																		f ə r ə z	
373-18																		kʼ u m a l	
408-18																		b oː r a	
414-18																		d ə b a ʔ u lː a	
601-18																		ʔ a r b ɨ j ə	
642-18																		n ɨ f a s	
60-18																		n ə f ə s ə	
115-18																		l a m	
209-18																		s u mː u t	
242-18																		ʔ a mː ɨ s t	
415-18																		z ɨ l a m	
450-18																		z aː r	
490-18																		tʼ o b e	
61-19																			d ə m
63-19																			ʔ a tʼ ɨ m
107-19																			g aː l a
112-19																			d aː b aː n aː
331-19																			n ɨ g u s
377-19																			b o kʼ o l u
381-19																			ʔ a n d
417-19																			r u z
451-19																			s ə b ɨ t
454-19																			ʔ a n tʃʼ ɨ r
484-19																			s ɨ dː ɨ s t
535-19																			ʔ a sː ɨ r
543-19																			ʃ e ʃ t
593-19																			ʔ a m uː s
640-19																			m a
1-19																			d ə b ə l ə
65-19																			tʼ u b
163-19																			s ə tʃ i
212-19																			ʔ i n
244-19																			ʔ a r ə t
248-19																			m u l i
293-19																			f ə r ə z
373-19																			kʼ ɨ m ai̯
408-19																			b uː r ə
414-19																			d u b a
601-19																			ʔ ɨ r oː b
642-19																			n ɨ f a s
60-19																			n ə f ə s ə
115-19																			l a m
209-19																			s ɨ mː u t
242-19																			ʔ a mː ɨ s t
415-19																			z ɨ n a b
450-19																			z ə r ə
490-19																			tʼ o b uː
