COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
593-8								ʔ ɨ m a											
640-8								ʔ a											
1-8								tʃ ə k ə r ə											
65-8								h u t											
163-8								g u n ə											
212-8								ʔ a											
244-8								ʔ a ʒ ə t											
248-8								ʔ a t											
293-8								n ə b ə											
373-8								b ɨ ʃ ə											
408-8								kʼ ə r ə											
414-8								ʔ ɨ x a											
601-8								ʔ ə k w a											
642-8								ʔ a g ə											
60-8								n ə s ə											
115-8								ʔ a t											
209-8								ʔ a t											
242-8								ʔ a m ɨ r											
415-8								b ə kʼ ɨ r											
450-8								ʔ a t											
490-8								b ə kʼ ɨ r											
638-8								x ɨ n u											
645-8								kʼ a r i											
75-8								ʔ a h ɨ r											
160-8								kʼ ə r ə											
208-8								ʔ a g ə											
214-8								ʔ a ʒ a											
218-8								ʔ ɨ m ɨ r											
378-8								ʔ a ʒ ə											
379-8								w ə tʼ ə											
409-8								ʔ a ʒ ə m											
497-8								ʔ a a											
598-8								tʃʼ e t											
646-8								ʔ a ʒ ə											
164-8								b ə kʼ ɨ r											
210-8								dʒ ə p ə											
215-8								ʔ a t											
256-8								h u t											
285-8								m ɨ k a											
332-8								ʔ ə h ɨ r											
380-8								ʔ ə k w a											
412-8								b ə kʼ ɨ r											
496-8								g u n ə t											
64-8								ʔ a ʒ ə											
67-8								w ɨ r											
169-8								n ə k ə											
251-8								b ɨ ʃ ə											
294-8								ʔ a t											
461-8								h u t											
547-8								ʔ a a											
597-8								ʔ e n ə											
655-8								m ɨ t											
7-8								ʔ a g a											
158-8								kʼ ə s ɨ m											
168-8								ʔ ɨ m ɨ r											
61-9									b ə										
63-9									ʔ i x a										
107-9									g w ə										
112-9									kʼ ə										
331-9									d ɨ n g ə										
377-9									b ə ə										
381-9									ʔ a t a										
417-9									kʼ ə										
451-9									m ə r										
454-9									ʔ i x ɨ r										
484-9									d ɨ n ə										
535-9									ʔ ə x ɨ r										
543-9									x u t a										
593-9									ʔ a n g a										
640-9									b ə										
1-9									n ə g ə										
65-9									x u t a										
163-9									n ə g ə										
212-9									ʔ i x										
244-9									ʔ a r										
248-9									m ə r										
293-9									kʼ ə										
373-9									kʼ ə										
408-9									b ə										
414-9									d a n g a										
601-9									b ə ə										
642-9									b ə										
60-9									kʼ ə										
209-9									d ɨ n ə										
242-9									ʔ ə x ɨ r										
415-9									kʼ ə										
490-9									b ə										
638-9									m ə										
645-9									b ə										
75-9									ʔ ə x ɨ r										
160-9									kʼ ə										
208-9									b ə ə										
214-9									ʔ a n g a										
218-9									ʔ i x ɨ r										
378-9									ʔ a n g a										
379-9									d ɨ n ə										
409-9									g u n ʔ ə r										
497-9									b ə										
598-9									ʔ a r										
646-9									ʔ a n g a										
164-9									b ə										
210-9									kʼ ə										
215-9									ʔ a s ə										
256-9									ʔ a r										
285-9									m ə m a										
332-9									ʔ ə x ɨ r										
380-9									ʔ a n g a										
412-9									b ə										
496-9									kʼ ə b ə										
64-9									b ə										
67-9									m ə										
169-9									kʼ ə n ə m ə										
251-9									b ə										
294-9									kʼ ə										
461-9									x u t a										
547-9									kʼ ə t										
597-9									n ə g ə										
655-9									m ə m a										
7-9									ʔ a n g a										
168-9									ʔ ɨ m ɨ r										
61-10										s ə d ə b a									
63-10										m ə kʼ a									
107-10										b ə kʼ a									
112-10										b ə kʼ									
331-10										m ə kʼ a									
377-10										b ə kʼ a									
381-10										m ə kʼ a									
417-10										b ə kʼ l ə									
451-10										b ə kʼ l ə									
454-10										ħ a r aː ʃ									
484-10										m i n									
535-10										b ə kʼ ə									
543-10										m i									
593-10										m i									
640-10										m i									
1-10										b ə kʼ ə									
65-10										b ə kʼ a									
163-10										b ə kʼ a									
212-10										m ə kʼ a									
244-10										b ə kʼ a									
248-10										m ə kʼ a									
293-10										b ə kʼ ə									
373-10										m ə kʼ a									
408-10										b ə kʼ									
414-10										dʒ u m ʔ									
601-10										b ə kʼ a									
115-10										m i									
209-10										b ə kʼ a									
242-10										m i i									
415-10										m i									
490-10										b ə kʼ a									
160-10										b ə kʼ ə									
208-10										dʒ u m ʔ									
218-10										b ə kʼ a									
378-10										b ə kʼ a									
379-10										b ə kʼ l ə									
497-10										b ə kʼ l ə									
598-10										tʃʼ u									
646-10										kʼ o a									
164-10										b ə kʼ									
210-10										b ə kʼ a									
256-10										b ə kʼ a									
285-10										m ə kʼ a									
380-10										kʼ o a									
412-10										m i									
64-10										b ə kʼ									
169-10										b ə kʼ a									
461-10										kʼ o a									
547-10										m ə kʼ a									
61-11											n ə ə								
63-11											ʔ ɨ m ɨ r								
107-11											g u d a								
112-11											n ə ə								
331-11											g ɨ m ə								
377-11											b ɨ ʃ ə								
381-11											ʔ a t a								
417-11											h u d a								
451-11											b ə ʔ ə								
454-11											ʔ ɨ m ə								
484-11											ʔ ɨ m ɨ r								
535-11											ʔ a ʒ ə								
543-11											h u d a								
593-11											ʔ a ʒ ə								
640-11											ʔ ə								
1-11											b ə t								
65-11											h u d a								
163-11											n ə ə								
212-11											d a								
244-11											ʔ ə t								
248-11											d a								
293-11											n ə k ə								
373-11											ʔ ɨ m ɨ r								
408-11											b ə t ə								
414-11											b ə t ɨ r								
601-11											ʔ ɨ m ə								
642-11											ʔ ɨ x a								
60-11											n ə ʔ ə								
115-11											ʔ ə t ə								
209-11											ʔ ɨ m ɨ r								
242-11											ʔ a t ɨ r								
450-11											d a								
490-11											b ə t								
638-11											g u n ʔ ə								
645-11											ʔ ɨ ʔ ə								
75-11											ʔ ɨ m ɨ r								
160-11											n ə k ə								
208-11											ʔ ɨ nː ə								
214-11											ʔ a n ə								
218-11											ʔ ɨ m ə								
378-11											ʔ a n g ə								
379-11											n ə g ə								
409-11											d a								
497-11											n ə ʔ ə								
598-11											ʔ a n ə								
646-11											ʔ a k w a								
164-11											b ə r								
210-11											n ə ʔ ə								
215-11											ʔ a n ə r								
256-11											ʔ a t a								
285-11											m ɨ r								
332-11											ʔ ɨ m ɨ r								
412-11											ʔ a n ə								
496-11											n ə ʔ ə								
64-11											d a t a								
67-11											ʔ ɨ m ɨ r								
169-11											n ə k ə								
251-11											d a n g ə								
294-11											m ə ʔ a								
461-11											ʔ ɨ m ə								
547-11											ʔ a n ə								
597-11											m ə r k a								
655-11											m ɨ r								
7-11											ʔ a n g a								
168-11											ʔ ɨ m ɨ r								
61-12												d ə r ə							
63-12												m ɨ ʃ ə							
107-12												m ɨ ʃ ə							
112-12												d ə r ə							
331-12												m ɨ ʃ ə							
377-12												k ɨ nː ə							
381-12												ʔ a n g a							
417-12												ʔ a r a							
451-12												m ɨ ʃ ə							
454-12												m ɨ ʃ ə							
484-12												m ɨ ʃ ə							
535-12												ʔ a r a							
543-12												m ɨ n							
593-12												m ɨ ʃ ə							
640-12												k ɨ nː ə							
1-12												d ə r ə							
65-12												g oi̯							
163-12												n ə g ə							
212-12												m ɨ ʃ ə							
244-12												ʔ a r a							
248-12												m ɨ n							
293-12												k ɨ d ə							
373-12												m ɨ ʃ ə							
408-12												k ɨ nː ə							
414-12												k ɨ nː ə							
601-12												m ɨ ʃ ə							
642-12												m ɨ ʃ ə							
60-12												n ə g ə							
115-12												m ə							
209-12												m ɨ ʃ ə							
242-12												m ɨ ʃ ə							
415-12												m ɨ ʃ ə							
450-12												m ɨ ʃ ə							
490-12												k ɨ nː ə							
638-12												m ɨ ʃ ə							
645-12												ʔ a n g a							
75-12												k ɨ nː ə							
160-12												k ɨ nː ə							
208-12												m ɨ ʃ ə							
214-12												ʔ a n g a							
218-12												m ɨ ʃ ə							
378-12												ʔ a n g ə							
379-12												m ɨ n							
497-12												k ɨ nː ə							
598-12												k ɨ nː ə							
164-12												d ə n g ə							
210-12												k ɨ d ə							
215-12												ʔ a r ə							
256-12												k ɨ nː ə							
285-12												m ɨ n							
332-12												j i g a							
380-12												ʔ a							
412-12												k ɨ nː ə							
496-12												n ə g ə							
64-12												d ə r ə							
67-12												k ɨ nː ə							
169-12												k ɨ d ə							
251-12												k ɨ nː ə							
294-12												k ɨ nː ə							
461-12												k ɨ nː ə							
547-12												j i m a							
597-12												k ɨ nː ə							
655-12												k ɨ nː ə							
7-12												ʔ a n g a							
168-12												j i g a							
61-13													d ə						
63-13													ʔ ɨ m ɨ r						
107-13													ʔ a o						
112-13													ʔ a ə						
331-13													g ɨ n						
377-13													ʔ a ə						
381-13													ʔ a sː o						
417-13													ʔ a						
451-13													ʔ a ə						
454-13													ʔ ɨ m ɨ r						
484-13													ʔ a r a						
535-13													ʔ a r						
543-13													h u t i						
593-13													ʔ a ʒː ə						
640-13													ʔ a						
1-13													tʃ ə kː ə						
65-13													h u t i						
163-13													ʔ a r						
212-13													ʔ a ʒː ə						
244-13													ʔ a ʒː ə						
248-13													ʔ a r a						
293-13													b ə ə						
373-13													kʼ ɨ tʃː ɨ n						
408-13													ʔ a						
414-13													ʔ a r a						
601-13													ʔ a r						
642-13													ʔ a ʒː ə						
60-13													n ə g ə						
115-13													ʔ a ʒː ə						
209-13													ʔ a ə						
242-13													ʔ a r						
415-13													ʔ a r a						
450-13													kʼ ə r ə						
490-13													b ə b ə						
638-13													g ɨ j ə						
645-13													kʼ a r a						
75-13													ʔ a r						
160-13													g ə kː ə						
208-13													ʔ a sː o						
214-13													ʔ a sː o						
218-13													ʔ ɨ m ɨ r						
378-13													ʔ a ʒː ə						
379-13													ʔ a a						
409-13													g u nː ə						
497-13													b ə tː ə						
598-13													h u t i						
646-13													ʔ a ʒː ə						
164-13													b ə tː ə						
210-13													b ə ə ə						
215-13													ʔ a ʒː ə						
256-13													ʔ a r a						
285-13													ʔ a r a						
332-13													ʔ ɨ m ɨ r						
380-13													ʔ a n g a						
496-13													b ə ə						
67-13													k ɨ n ʒ ə						
169-13													d ə n g ə						
251-13													b ə b ə						
294-13													ʔ a o						
461-13													h u t i						
547-13													ʔ a						
597-13													ʔ e m ə						
655-13													ʔ a g a						
7-13													ʔ a n g a						
158-13													kʼ ə r ə						
168-13													ʔ ɨ kʼ a						
61-14														kʼ ə m					
63-14														ʔ ɨ j ə					
107-14														g ə					
112-14														d a dː a					
331-14														g ɨ j ə					
377-14														b ɨ ʃː a					
381-14														ʔ a					
417-14														ʔ a					
451-14														b ə tː o					
454-14														ʔ ɨ g a					
484-14														g ɨ j ə					
535-14														ʔ ɨ g a					
543-14														g e					
593-14														ʔ a					
640-14														d a dː a					
1-14														kʼ ə m					
65-14														g e					
163-14														n ə g ə					
212-14														ʔ a					
244-14														ʔ a n g a					
248-14														g e					
293-14														kʼ ə m					
373-14														ʔ ɨ g a					
408-14														b ə tː o					
414-14														ʔ ɨ g a					
601-14														ʔ ə kː w a					
642-14														ʔ ɨ g a					
60-14														kʼ ə m					
115-14														kʼ ə m					
209-14														ʔ ɨ n g ə					
242-14														ʔ a ə					
415-14														g e					
450-14														kʼ ə m					
490-14														kʼ ə m ə m					
638-14														ʔ a					
645-14														ʔ a n g a					
75-14														ʔ ɨ n tʼ e					
160-14														kʼ ə m					
208-14														ʔ ɨ g a					
214-14														ʔ a dː a					
218-14														ʔ ɨ g a					
378-14														ʔ a n g ə					
379-14														kʼ ə m					
409-14														g u nː ə					
497-14														ʔ ə kː w a					
598-14														ʔ a					
646-14														ʔ a					
164-14														b ə tː o					
210-14														kʼ ə m					
215-14														ʔ ɨ n tʼ e					
256-14														ʔ ɨ n tʼ e					
285-14														ʔ ɨ g a					
332-14														g e					
380-14														ʔ ə kː w a					
412-14														g e					
496-14														s ə n b ə t					
64-14														ʔ a n g a					
169-14														kʼ ə m					
251-14														ʔ ɨ n tʼ e					
294-14														kʼ ə m					
461-14														ʔ ɨ tʼ e					
547-14														ʔ a r a					
597-14														ʔ ɨ g e					
655-14														b ɨ tʼ a					
7-14														ʔ a n g a					
158-14														kʼ ə m					
168-14														ʔ ɨ g a					
61-15															b ə				
63-15															ʔ a n				
107-15															ʔ a a				
112-15															kʼ ə b ə				
331-15															m ɨ n				
377-15															b ə kʼː o				
381-15															ʔ a g ə				
417-15															kʼ ə				
451-15															kʼ ə				
454-15															ʔ a n				
484-15															m ɨ n				
535-15															ʔ a r				
543-15															m ɨ n				
593-15															ʔ a r				
640-15															b ə				
1-15															b ə b ə				
65-15															kʼ ə				
163-15															b ə				
212-15															ʔ a n				
244-15															ʔ a n				
248-15															ʔ a n				
293-15															b ə				
373-15															m ɨ n				
414-15															kʼ ə b ə				
601-15															ʔ a r ə				
642-15															kʼ ə				
60-15															kʼ ə				
115-15															kʼ ə				
209-15															m ɨ n				
242-15															ʔ a n				
415-15															kʼ ə				
450-15															kʼ ə				
490-15															kʼ ə				
638-15															m ɨ n				
645-15															kʼ ə				
75-15															ʔ a r				
160-15															b ə ə				
214-15															ʔ a r				
218-15															ʔ a r				
378-15															ʔ a n				
379-15															b ə				
409-15															ʔ a g ə				
497-15															b ə				
646-15															ʔ a r ə				
164-15															b ə				
210-15															kʼ ə b ə				
215-15															ʔ a r ə				
256-15															ʔ a n				
285-15															m ɨ n				
332-15															ʔ a r ə				
380-15															ʔ a g ə				
412-15															b ə				
496-15															s ə d ə				
67-15															b ə				
169-15															b ə ə				
251-15															ʔ a r ə				
294-15															kʼ ə				
461-15															ʔ a r				
547-15															ʔ a t				
655-15															b ə				
158-15															kʼ ə				
168-15															ʔ a t				
61-16																m ə s a			
63-16																h ɨ t u			
107-16																h ɨ t u			
112-16																m ə s a			
331-16																h ɨ t u			
377-16																k ə m			
381-16																h ɨ t u			
417-16																h ɨ t u			
451-16																h ɨ t			
454-16																h ɨ t u			
484-16																h ɨ t u			
535-16																h ɨ t u			
543-16																h ɨ t u			
593-16																h ɨ t u			
640-16																m ə s a			
65-16																h ɨ t u			
163-16																s ə b			
212-16																h ɨ t u			
244-16																h ɨ t a			
248-16																h ɨ t u			
293-16																m ə s a			
373-16																h ɨ t u			
408-16																h ɨ t			
414-16																h ɨ t a			
601-16																h ɨ t u			
642-16																m ə s a			
209-16																h ɨ t u			
242-16																h ɨ t o			
415-16																h ɨ t u			
450-16																k ə			
638-16																h ɨ t u			
75-16																h ɨ t u			
208-16																h ɨ t o			
214-16																h ɨ t u			
218-16																h ɨ t u			
409-16																k ə m			
497-16																h ɨ t a			
598-16																h ɨ t u			
646-16																h ɨ t u			
256-16																h ɨ t u			
332-16																h ɨ t u			
496-16																m ə s a			
67-16																h ɨ t u			
655-16																h ɨ t u			
61-17																	ʔ ɨ m i		
63-17																	ʔ ɨ m n i		
107-17																	ʔ ɨ m n i		
112-17																	ʔ ɨ m n i		
331-17																	ʔ ɨ m n i		
377-17																	ʔ ɨ m n i		
381-17																	ʔ ɨ m n i		
417-17																	ʔ ɨ m n i		
451-17																	ʔ ɨ m n i		
454-17																	ʔ ɨ m n i		
484-17																	ʔ ɨ m n i		
535-17																	ʔ ɨ m n i		
543-17																	ʔ ɨ m n i		
593-17																	ʔ ɨ m n i		
640-17																	ʔ ɨ m n i		
1-17																	q ə tʼː i		
65-17																	ʔ ɨ m n i		
163-17																	s ə ʔ		
212-17																	ʔ ɨ m n i		
244-17																	ʔ ɨ m n i		
248-17																	ʔ ɨ m n i		
293-17																	q ə tʼː i		
373-17																	ʔ ɨ m n i		
408-17																	ʔ ɨ m n i		
414-17																	ʔ ɨ m n i		
601-17																	ʔ ɨ m n i		
642-17																	ʔ ɨ m n i		
60-17																	q ə tʼː i		
115-17																	ʔ ɨ m n i		
209-17																	ʔ ɨ m n i		
415-17																	ʔ ɨ m i		
450-17																	ʔ ɨ m n i		
638-17																	ʔ ɨ m n i		
645-17																	ʔ ɨ m n i		
75-17																	ʔ ɨ m n i		
214-17																	ʔ ɨ m n i		
218-17																	ʔ ɨ m i		
409-17																	ʔ ɨ m i		
598-17																	ʔ ɨ m n i		
164-17																	ʔ ɨ m n i		
332-17																	ʔ ɨ m n i		
412-17																	ʔ ɨ m n i		
496-17																	q ə d a m		
158-17																	ʔ ɨ m i		
61-18																		kʼ ə	
63-18																		m ɨ n	
107-18																		m ɨ n	
112-18																		kʼ ə	
331-18																		m ɨ n	
377-18																		kʼ ə	
381-18																		kʼ ə	
417-18																		kʼ ə	
451-18																		kʼ ə	
454-18																		m ɨ n	
484-18																		m ɨ n	
535-18																		m ɨ n	
543-18																		kʼ ə	
593-18																		m ɨ n	
640-18																		m ɨ n	
